
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,3,4,9,6,6,5,14,17,16,80,1,1,4,3,5,7,3,1,8,2,2,3,2,11,11,8,4,3,1

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,4,,2,,3,,13,7,4,33,14,9,5,3,2,,,,,,,,
咽頭結膜熱,11,1,1,,,2,4,3,2,24,,2,7,6,,1,3,2,1,,,1,
Ａ群溶血性レンサ球菌咽頭炎,3,9,2,,,4,5,6,8,37,,1,1,1,3,4,4,8,3,3,2,7,
感染性胃腸炎,18,11,3,9,23,16,37,58,22,197,,16,42,16,13,17,11,8,9,10,1,19,8
水痘,1,3,,2,8,,3,7,7,31,,,6,1,4,8,4,1,2,1,2,1,1
手足口病,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,2,1,,,9,3,,2,4,21,,,3,2,1,2,6,3,2,,1,1,
突発性発疹,2,,1,,,1,2,2,3,11,,1,10,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,11,1,,,5,17,,,,,1,5,,3,3,2,,3,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,2,,,2,,1,,2,,7,,,,,1,,,,,1,,,,,3,1,,1
