神戸市感染症発生動向調査週報 平成28年3月23日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第11週 2016年 3月 14日 ～ 2016年 3月 20日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,99,73,43,25,97,61,147,179,178,902,,3,16,29,40,63,79,61,58,79,58,190,38,25,57,43,28,17,15,3
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,今週、侵襲性肺炎球菌感染症の 届出が4例ありました。肺炎球菌 は肺炎の原因として最も多い菌で すが、小児や高齢者を中心に免疫 が低下した人の場合は、髄膜炎・ 菌血症を伴う肺炎・敗血症などに かかり重症化しやすくなります。 感染経路は、患者の咳やくしゃみ などのしぶきによる飛沫感染で す。感染しても必ず発症し、重症 化するわけではありません。 　感染予防には、ワクチン接種が 有効です。乳幼児および、高齢者 の定期予防接種の対象者は全額ま たは一部公費助成により接種でき ます。かかりつけ医と相談の上、 接種してください。対象年齢等詳 細については、市ホームページ等 でご確認ください。,,,,
ＲＳウイルス感染症,,1,,,,,,1,1,3,1,,1,,1,,,,,,,,,,,,,,,
咽頭結膜熱,2,2,1,,,1,1,2,3,12,,1,6,,,4,1,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,2,5,5,,1,4,7,9,18,51,,,1,1,6,5,7,4,6,5,7,7,,2,,,,,,
感染性胃腸炎,9,13,11,,17,1,25,70,9,155,3,8,18,14,11,18,18,11,6,5,6,18,4,15,,,,,,
水痘,3,,,1,1,,1,1,1,8,,1,,,,,4,1,1,1,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,5,,1,2,2,10,,,,,,3,2,2,2,1,,,,,,,,,,
突発性発疹,,2,1,,,1,2,1,4,11,,4,5,2,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,8,,,,2,10,,,,,3,,,4,,,1,2,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,1,2,,,,,,1,,,,,,,,,1,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ヒトメタニューモウイルス感染症１例：０～４歳男（６１０１） 中央区○マイコプラズマ感染症２例：１０代男（６３０１） 垂水区○病原性大腸菌感染症１例：性別・年齢不詳（６８０４） 西　 区○アデノウイルス感染症２例：性別・年齢不詳（６９０３）,,,,,,,,,,,【結核に関する情報】　　今週の結核届出患者数は０人です。 【市内の感染症の状況】 　　　インフルエンザの定点あたり患者数は18.79人で ２週連続で患者数は大きく減少しています。（先週は29.02人） 【感染症発生動向調査事業実施要綱】 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,
〔お知らせ〕　バックナンバーは神戸市のホームページからご覧いただけます。 【感染症発生動向調査事業実施要綱】 　神戸市　発生動向　〔検索〕 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　または、神戸市ホームページ上段のバナーを以下のとおりたどってください。 ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 　（トップページ ＞ くらし・手続き ＞ 健康・医療 ＞ 感染症・予防接種 ＞ 感染症発生動向） 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
