神戸市感染症発生動向調査週報 平成28年5月12日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第17週 2016年 4月 25日 ～ 2016年 5月 1日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,8,1,1,1,7,3,3,6,11,41,,,,3,2,2,2,4,4,1,2,5,2,1,3,3,5,2,1,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,今週、レジオネラ症の報告があり ました。肺炎を主徴とし、有効な 抗菌薬治療がなされないと呼吸困 難や意識障害等重篤化し死に至る ことがあります。高齢者や基礎疾 患を有するなど免疫力が低下して いる場合は発症リスクが高まりま す。レジオネラ属菌に汚染された エアロゾル（霧状の水滴）を吸い 込むことで感染します。本菌は土 壌細菌であり自然界に広く存在し ヒトの生活環境でも冷却塔水、給 水給湯系、浴槽及びその関係設備 に定着し感染源となります。定期 的な浴槽水の換水や、配管を含め た循環ろ過装置の洗浄が必要で す。気泡風呂や打たせ湯などはエ アロゾルを発生するため特に浴槽 水の管理に注意が必要です。,,,,
ＲＳウイルス感染症,1,,,,,,1,,1,3,1,1,,,1,,,,,,,,,,,,,,,
咽頭結膜熱,2,,,1,,,2,9,2,16,,1,6,4,1,1,1,,,1,,1,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,6,6,6,,,2,,7,25,52,,,1,1,6,3,6,9,4,7,3,10,,2,,,,,,
感染性胃腸炎,7,15,21,6,39,7,43,70,10,218,2,7,36,24,25,27,11,19,14,15,5,18,1,14,,,,,,
水痘,,,,2,,1,1,2,,6,,,,,1,,3,,1,1,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,1,1,6,,1,3,,12,,1,,,,3,3,1,1,,1,1,,1,,,,,,
突発性発疹,1,1,1,1,1,,3,3,3,14,,5,6,2,,,1,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,2,,,,,,,,,2,,,,,1,,,,,,1,,,,,,,,,
流行性耳下腺炎,1,1,,,5,,1,3,1,12,,,1,,2,2,3,2,,1,,1,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,
流行性角結膜炎,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○アデノウイルス感染症１例：年齢・性別不詳（６１０１） 東灘区○ヒトメタニューモウイルス感染症１例：０～４歳男（６１０１） 東灘区○ロタウイルス感染症１例：０～４歳男（６１０２） 北　 区○アデノウイルス感染症１例：５～９歳男（６５０５） 北　 区○ロタウイルス感染症１例：０～４歳女（６５０５） 北　 区○アデノウイルス感染症１例：０～４歳女（６５０５） 須磨区○アデノウイルス感染症：件数不明、年齢・性別不詳（６１０１）,,,,,,,,,,,【結核に関する情報】　　今週の結核届出患者数は０人です。 【市内の感染症の状況】 　　　　第17週の市内インフルエンザ定点あたり患者数は0.9で、 　　　 流行基準となる１を下回りました。 　　　 今シーズンの流行はほぼ終息したものと思われます。 【感染症発生動向調査事業実施要綱】 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,
〔お知らせ〕　バックナンバーは神戸市のホームページからご覧いただけます。 【感染症発生動向調査事業実施要綱】 　神戸市　発生動向　〔検索〕 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　または、神戸市ホームページ上段のバナーを以下のとおりたどってください。 ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 　（トップページ ＞ くらし・手続き ＞ 健康・医療 ＞ 感染症・予防接種 ＞ 感染症発生動向） 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
