
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,7,3,10,,,,,1,,1,,1,2,,1,,1,,1,1,,1

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,,,,,,,1,,1,,,,,1,,,,,,,,,,
咽頭結膜熱,2,1,,,,1,,8,,12,,2,4,,3,,1,,,,,1,1,,
Ａ群溶血性レンサ球菌咽頭炎,8,4,3,,1,2,6,13,16,53,,,3,4,2,7,4,10,8,3,4,5,,3,
感染性胃腸炎,16,4,14,6,38,13,60,94,24,269,5,16,48,31,31,29,21,15,15,8,6,13,4,27,
水痘,1,,,,5,,,,3,9,1,,1,1,,,4,1,,1,,,,,
手足口病,2,,,,,,1,5,,8,,,3,1,1,2,,,1,,,,,,
伝染性紅斑,1,2,1,,3,1,,2,2,12,,1,,1,1,2,5,,1,,,1,,,
突発性発疹,,1,,1,1,,4,5,1,13,,4,5,2,1,1,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,3,,,2,,,2,2,,9,,2,3,1,1,,1,,,,,1,,,
流行性耳下腺炎,,,,,13,,1,3,4,21,,,,2,1,2,5,2,5,,2,1,1,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,
