
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,1,3,,,,1,1,2,4,12,,1,6,2,1,,1,,,,,1,
Ａ群溶血性レンサ球菌咽頭炎,5,5,7,,3,,3,9,11,43,,,1,2,3,5,13,3,7,3,3,2,
感染性胃腸炎,9,4,3,6,30,1,50,66,15,184,5,15,35,18,20,20,14,5,9,8,2,11,2
水痘,1,1,,,2,1,2,3,1,11,,,1,1,1,1,2,,2,,1,2,
手足口病,2,,,1,,1,1,3,8,16,,,4,5,,2,2,1,,,,,
伝染性紅斑,1,,1,,1,1,4,1,2,11,,,2,,4,1,2,1,,1,,,
突発性発疹,5,,2,,3,,1,8,3,22,2,9,9,2,,,,,,,,,
百日咳,,,,,,,,,1,1,,,,1,,,,,,,,,
ヘルパンギーナ,23,,6,3,8,15,23,28,13,119,,7,35,26,19,11,14,2,2,,,1,1
流行性耳下腺炎,5,2,1,3,9,1,6,1,4,32,,,,,3,6,7,10,2,1,2,1,

,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,1,,,,,1,,,1,3,,,,,,,1,,,,,,,,,1,1,
