
疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,

疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,1,,,1,,,,,1,,,3,,1,2,,,,,,,,,,,,,,,,
咽頭結膜熱,,2,,,,,,,,2,4,1,9,,,1,2,,,1,1,1,1,,,,,,,,2,
Ａ群溶血性レンサ球菌咽頭炎,,1,3,,,,,,1,5,1,5,16,,,1,,,,,2,3,1,1,,1,2,,5,,,
感染性胃腸炎,,7,4,,9,,9,13,2,15,63,22,144,3,11,23,18,,,16,14,9,6,3,,4,7,,12,2,16,
水痘,,,,,,,,1,,,3,2,6,,,,,,,2,,,,,,,1,,2,,1,
手足口病,,,,,1,,1,,2,1,3,1,9,,2,4,1,,,1,,,,,,1,,,,,,
伝染性紅斑,,,,,,,,2,1,,,,3,,,,1,,,,,1,1,,,,,,,,,
突発性発疹,,1,1,,,,3,2,1,3,2,2,15,1,5,7,2,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,1,,,,2,4,5,4,3,1,20,,1,5,6,,,6,1,,,,,,,,,,1,
流行性耳下腺炎,,14,3,,5,,1,9,8,9,1,7,57,,,,5,,,5,6,17,6,6,,4,2,,4,1,1,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,
