
疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,

疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳
ＲＳウイルス感染症,,11,,,1,,,1,,4,8,5,30,5,6,11,3,,,4,1,,,,,,,,,
咽頭結膜熱,,,5,,,,,1,,1,1,5,13,,1,3,,,,2,3,1,,,,1,1,,1,
Ａ群溶血性レンサ球菌咽頭炎,,8,5,,,,,2,2,5,2,13,37,,,,2,,,4,7,5,6,5,,1,,,7,
感染性胃腸炎,,3,2,,2,,2,15,4,27,41,9,105,1,12,12,12,,,8,11,11,5,6,,1,3,,8,3
水痘,,,1,,,,1,,1,,1,4,8,,,2,1,,,,1,,1,2,,1,,,,
手足口病,,5,,,2,,,1,2,,7,3,20,,1,11,2,,,1,3,2,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,1,,,1,,,1,2,1,4,2,12,1,5,6,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,2,,,,,,2,,1,4,1,10,1,2,3,3,,,1,,,,,,,,,,
流行性耳下腺炎,,12,1,,4,,8,17,3,5,4,8,62,,1,1,4,,,7,9,11,9,4,,1,3,,8,

疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,3,,,,,3,,,1,,,,,,,,,,,,,,,,1,,,1
