
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,4,2,2,,29,8,11,,27,13,,96,,1,2,1,4,3,6,6,6,5,3,22,7,5,7,8,4,1,5

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,1,2,1,,5,1,2,,4,4,,20,5,5,3,5,1,1,,,,,,,,,
咽頭結膜熱,,2,,,,1,2,,2,,,7,,,,,3,2,2,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,11,7,2,,5,3,2,,3,30,,63,,,,3,2,6,9,3,14,5,3,12,2,4,
感染性胃腸炎,47,31,23,9,89,37,95,,132,68,,531,1,8,64,51,58,60,64,47,33,20,28,32,5,60,
水痘,1,3,,1,3,1,4,,10,2,,25,,,3,2,4,3,5,2,3,1,,2,,,
手足口病,1,2,,,7,,2,,1,,,13,,,6,1,1,4,1,,,,,,,,
伝染性紅斑,,1,,,,1,1,,,,,3,,,,,,1,,,,1,1,,,,
突発性発疹,3,1,,1,1,,,,1,4,,11,,4,5,2,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,
流行性耳下腺炎,19,1,2,1,15,4,8,,7,6,,63,,,3,3,8,3,10,6,9,11,2,7,1,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,1,,,,5,1,,7,,,1,,1,,,1,,,,,1,1,1,1,,
