神戸市感染症発生動向調査週報 平成28年12月7日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第48週 2016年 11月 28日 ～ 2016年 12月 4日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,4,2,2,,29,8,11,,27,13,,96,,1,2,1,4,3,6,6,6,5,3,22,7,5,7,8,4,1,5,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,第48週（11/28～12/4）のインフル エンザ定点あたり患者数は2.0とな り、流行開始の目安となる1.0を超 えました。例年、流行入りすると 数週間以内に、急激に患者数が増 加する傾向にあります。 流水・石鹸によるこまめな手洗い （アルコールによる手指消毒も有 効）、マスク着用、咳エチケッ ト、加湿器等で室内を適切な湿度 （50～60％）に保つなど感染予防 に努めましょう。 発症から48時間以内に抗インフル エンザ薬の服用を開始すると、発 熱期間が、通常1～2日間短縮さ れ、鼻やのどからのウイルス排出 量も減少します。 ワクチンは重症化を予防し、発症 をある程度抑える効果がありま す。神戸市では高齢者の定期接 種、及び小児（1～13歳未満）は任 意接種として予防接種費用の一部 公費助成等を実施しています（詳 細は神戸市HP参照）。,,,,
ＲＳウイルス感染症,1,2,1,,5,1,2,,4,4,,20,5,5,3,5,1,1,,,,,,,,,,,,,,
咽頭結膜熱,,2,,,,1,2,,2,,,7,,,,,3,2,2,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,11,7,2,,5,3,2,,3,30,,63,,,,3,2,6,9,3,14,5,3,12,2,4,,,,,,
感染性胃腸炎,47,31,23,9,89,37,95,,132,68,,531,1,8,64,51,58,60,64,47,33,20,28,32,5,60,,,,,,
水痘,1,3,,1,3,1,4,,10,2,,25,,,3,2,4,3,5,2,3,1,,2,,,,,,,,
手足口病,1,2,,,7,,2,,1,,,13,,,6,1,1,4,1,,,,,,,,,,,,,
伝染性紅斑,,1,,,,1,1,,,,,3,,,,,,1,,,,1,1,,,,,,,,,
突発性発疹,3,1,,1,1,,,,1,4,,11,,4,5,2,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
流行性耳下腺炎,19,1,2,1,15,4,8,,7,6,,63,,,3,3,8,3,10,6,9,11,2,7,1,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,1,,,,5,1,,7,,,1,,1,,,1,,,,,1,1,1,1,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○マイコプラズマ肺炎２例：０～４歳男、１０代男（６１０１） 東灘区○ノロウイルス感染症８例：年齢・性別不明（６１０１） 灘 区○マイコプラズマ感染症１例：５～９歳男（６２０２） 中央区○アデノウイルス感染症１例：０～４歳女（６３０１） 中央区○カンピロバクター腸炎１例：０～４歳男（６３０１） 北 区○カンピロバクター腸炎１例：５～９歳男（６５０５） 北 区○ノロウイルス腸炎１例：０～４歳男（６５０５） 垂水区○カンピロバクター腸炎１例：年齢・性別不明（６８０４） 垂水区○マイコプラズマ感染症４例：年齢・性別不明（６８０４） 西 区○アデノウイルス感染症２例：０～４歳男（６９０２） 西 区○マイコプラズマ感染症例１例：１０代男（６９０２） 西 区○ノロウイルス感染症１例：年齢・性別不明（６９０３） 西 区○マイコプラズマ感染症１例：１０代男（６９０５）,,,,,,,,,,,,,【結核に関する情報】 今週の結核届出患者数は10人（うち潜在性結核感染症2人）です。 【市内の感染症の状況】●感染性胃腸炎の患者数がここ数週間で急激に増加しており、 警報レベル（定点あたり患者報告数20人以上）に近づいています（第48週：同17.1人）。 ●今年2例目となる腸管出血性大腸菌（O157）による溶血性尿毒症症候群（HUS）の報告がありました。 HUSは溶血性貧血、血小板減少、急性腎不全を3主徴とし、 腸管出血性大腸菌（EHEC）の約10～15％に 発症し、HUS発症者の約1～5％が死亡するとされています。 神戸市では毎年1例程度報告されています。 ●平成28年の侵襲性肺炎球菌感染症の報告数が過去最多になっています。 （平成25年：23例、平成26年：28例、平成27年：34例、平成28年（12/4まで）：59例） 【感染症発生動向調査事業実施要綱】 http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（インフルエンザ定点機関から報告された迅速キット陽性情報） 〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけま 神戸市 発生動向 〔検索〕 インフルエンザ予防接種神戸市公費助,,,,,,,,A 型,,,B 型,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,83,,,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,
,,,,,,,,ます。 ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 助成等制度はこちらをクリック システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,
