神戸市感染症発生動向調査週報 平成28年12月14日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第49週 2016年 12月 5日 ～ 2016年 12月 11日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,14,5,4,2,41,4,9,,34,15,,128,1,,1,2,,,6,3,11,10,6,13,4,27,2,7,7,15,3,5,5,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,感染性胃腸炎の定点あたり患者数 は21.9人となり、4年ぶりに警報 レベル（同20人以上）を超えまし た。市内の保育所や学校等から集 団発生も多数報告されています。 特に低年齢層での感染が目立ちま す。 今シーズンは、ノロウイルス「G Ⅱ.2」が国内では最も多く検出さ れています。GⅡ.2の流行は6シー ズンぶりで、免疫を持たない人の 多いことが、今シーズンの流行の 原因の一つとして考えられます。 手洗いを励行し、手指に付着して いるノロウイルスを減らすことが 最も有効な予防です。発症した場 合、ノロウイルスに有効な抗ウイ ルス薬はなく、輸液等の対症療法 が中心になります。嘔吐や下痢に より脱水症状を起こしやすくなっ ているため、こまめに電解質入り 飲料で水分補給しましょう。,,,,
ＲＳウイルス感染症,,1,2,2,,11,,1,,2,6,,25,2,6,9,6,,,2,,,,,,,,,,,,,,,
咽頭結膜熱,,,2,,,1,1,1,,2,1,,8,,1,,2,,,,,1,2,2,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,10,2,1,1,1,1,4,,1,24,,45,,,,1,,,1,4,7,5,7,8,3,7,1,1,,,,,,
感染性胃腸炎,,68,63,26,25,105,41,107,,145,100,,680,3,14,46,73,,,57,84,79,70,66,30,34,60,7,57,,,,,,
水痘,,6,1,,,9,4,8,,3,10,,41,,,1,1,,,,5,14,13,1,1,,4,1,,,,,,,
手足口病,,1,1,,3,3,3,,,2,2,,15,,,3,4,,,,1,5,1,1,,,,,,,,,,,
伝染性紅斑,,1,3,,,,,,,,,,4,,,,,,,,1,2,,,,,1,,,,,,,,
突発性発疹,,2,1,1,,1,,2,,2,1,,10,,4,4,1,,,1,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,1,,,,,,1,,,,,2,,,1,,,,,,,,,,,,1,,,,,,,
流行性耳下腺炎,,14,4,5,4,11,4,14,,4,5,,65,,,4,3,,,2,13,8,7,7,8,2,8,,3,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,,3,,,4,,,,,,,,1,,,,,,,,,3,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症１２例：年齢・性別不明（６１０１） 東灘区○マイコプラズマ感染症１例：５～９歳男（６１０１） 東灘区○マイコプラズマ感染症１例：１０代女（６１０２） 東灘区○猩紅熱＋ムンプス１例：０～４歳男（６１０２） 東灘区○水痘＋ムンプス２例：１０代男、５～９歳男（６１０２） 東灘区○ムンプス１例：年齢不明・女（６１０２） 中央区○アデノウイルス感染症２例：０～４歳男、１０代男 （６３０１）,,,,,北 区○マイコプラズマ感染症１例：１０代男（６５０５） 垂水区○カンピロバクター腸炎１例：年齢・性別不明（６８０４） 垂水区○マイコプラズマ感染症１例：年齢・性別不明（６８０４） 西 区○アデノウイルス感染症１例：０～４歳男（６９０２） 西 区○ノロウイルス感染症１例：年齢・性別不明（６９０３） 西 区○マイコプラズマ感染症１例：年齢・性別不明（６９０３） 西 区○マイコプラズマ感染症６例：０～４歳男、５～９歳男女、 １０代男（６９０５）,,,,,,,,,【結核に関する情報】 今週の結核届出患者数は10人（うち潜在性結核感染症4人）です。 【市内の感染症の状況】●第48週で 神戸市はインフルエンザの流行期に入りました。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
