
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,～11ヶ月,1歳,2歳,,,3歳,,,4歳,,,,,5歳,,6歳,,7歳,,8歳,9歳,,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,23,15,15,4,118,21,39,,96,99,,430,1,2,5,10,,,17,,,26,,,,,17,,16,,21,,31,34,,119,,18,22,,29,25,15,14,5

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,,,4歳,,,,,5歳,,6歳,,7歳,,8歳,9歳,,～14歳,,～19歳
ＲＳウイルス感染症,,4,,1,,3,,1,,1,3,,13,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,2,,1,,,,1,,,1,,5,,,2,,,,1,,,1,,,,,1,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,6,,,,1,3,,,,38,,48,,,1,,,,4,,,9,,,,,8,,9,,3,,2,5,,6,,
感染性胃腸炎,,39,43,16,16,73,46,83,,161,58,,535,2,12,41,39,,,44,,,44,,,,,66,,35,,38,,40,29,,61,,9
水痘,,1,,,,3,1,5,,1,12,,23,,2,3,2,,,,,,3,,,,,6,,6,,,,1,,,,,
手足口病,,2,,4,,,,1,,1,3,,11,,,3,5,,,,,,,,,,,2,,1,,,,,,,,,
伝染性紅斑,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,3,,,,1,,1,,5,4,,14,,5,9,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,2,,1,,1,,,1,,5,,1,2,,,,,,,,,,,,,,1,,,,,,,,,
流行性耳下腺炎,,14,6,2,2,15,2,7,,7,2,,57,,,,8,,,1,,,9,,,,,13,,6,,6,,3,5,,6,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,,,4歳,,,,,5歳,,6歳,,7歳,,8歳,9歳,,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,3,,,,,,,,5,1,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,1,1
