
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,,～59歳,,～69歳,～79歳
インフルエンザ,,9,11,15,3,10,5,3,17,10,83,,,4,4,1,2,6,5,10,6,3,2,10,7,3,10,,5,,2,,,1

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,
ＲＳウイルス感染症,,1,,,,,,8,,7,16,,2,2,8,4,,,,,,,,,,,,
咽頭結膜熱,,2,,1,,,1,2,10,1,17,,,2,7,,5,2,,,,,1,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,3,11,7,,5,2,2,9,13,52,,,1,2,5,8,9,7,3,3,4,3,4,2,1,,
感染性胃腸炎,,10,2,5,9,26,5,42,55,24,178,,4,14,33,22,19,24,11,9,12,6,2,8,2,12,,
水痘,,4,1,,,2,2,1,1,1,12,,,,,1,1,2,3,1,3,1,,,,,,
手足口病,,1,1,1,,,,1,2,3,9,,,,3,2,,3,1,,,,,,,,,
伝染性紅斑,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,
突発性発疹,,3,1,2,1,,2,,6,2,17,,3,10,3,1,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,2,,,,,,,,,2,,,,1,,,,,,,,,1,,,,
流行性耳下腺炎,,3,1,,,5,3,2,1,3,18,,,,,,3,2,1,3,1,5,,2,,1,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,,～59歳,,～69歳
急性出血性結膜炎,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,
流行性角結膜炎,,2,,,,,1,,1,1,5,,,,,,,,,,,,,,,1,3,,,,1,,
