
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,,7歳,,8歳,9歳,～14歳,,～19歳,～29歳,～39歳,,～49歳,～59歳,,～69歳,,～79歳
インフルエンザ,,,,,4,,1,,,8,4,17,,,,1,,,,,2,1,,,,,,,1,,3,2,1,,1,1,,4,,

疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,,7歳,,8歳,9歳,～14歳,,～19歳
ＲＳウイルス感染症,,,,,,,1,,1,1,,3,,2,,,,,1,,,,,,,,,,,,
咽頭結膜熱,,,1,,,,,1,1,4,,7,,,1,2,,,,,,3,,,1,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,6,4,2,,14,3,6,5,12,52,,,2,3,,,9,,10,7,3,,8,,3,4,2,,
感染性胃腸炎,,,16,8,9,1,40,19,49,83,23,248,3,18,43,27,,,19,,22,21,12,,13,,16,9,16,,6
水痘,,,,,2,,,,3,1,,6,,,,,,,,,1,,1,,,,2,1,1,,
手足口病,,,7,8,3,,6,2,3,6,8,43,,1,18,14,,,4,,3,1,1,,1,,,,,,
伝染性紅斑,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
突発性発疹,,,1,2,2,,,,2,3,4,14,,6,5,1,,,2,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,1,,,,,8,3,12,,,7,2,,,1,,1,,,,,,1,,,,
流行性耳下腺炎,,,2,1,,,1,,,4,11,19,,,,2,,,3,,6,5,1,,,,,,1,,1

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,,7歳,,8歳,9歳,～14歳,,～19歳,～29歳,～39歳,,～49歳,～59歳,,～69歳,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,
