神戸市感染症発生動向調査週報 平成29年5月23日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 20週 平成29年5月15日 ～ 平成29年5月21日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,,7歳,,8歳,9歳,～14歳,,～19歳,～29歳,～39歳,,～49歳,～59歳,,～69歳,,～79歳,80歳～
インフルエンザ,,,,,4,,1,,,8,4,17,,,,1,,,,,2,1,,,,,,,1,,3,2,1,,1,1,,4,,,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,,7歳,,8歳,9歳,～14歳,,～19歳,20歳～,,,小児科定点からの手足口病の報 告数が増加しています。 手足口病は、コクサッキーウイ ルスA16型およびA6型やエンテロ ウイルス71型(EV71)などが原因と なるウイルス感染症です。 乳幼児に好発し、口腔粘膜や手 足に水疱性の発疹が出現します。,,,,,,
ＲＳウイルス感染症,,,,,,,1,,1,1,,3,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,1,,,,,1,1,4,,7,,,1,2,,,,,,3,,,1,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,6,4,2,,14,3,6,5,12,52,,,2,3,,,9,,10,7,3,,8,,3,4,2,,,1,,,,,,,,,
感染性胃腸炎,,,16,8,9,1,40,19,49,83,23,248,3,18,43,27,,,19,,22,21,12,,13,,16,9,16,,6,23,,,,,,,,,
水痘,,,,,2,,,,3,1,,6,,,,,,,,,1,,1,,,,2,1,1,,,,,,一般的に予後は良好ですが、ま れに無菌性髄膜炎や脳炎などの中 枢神経合併症を引き起こします。 特に、EV71は、中枢神経合併症 の発生率が他のウイルスより高い ことが知られており、今年に入っ て市内の患者からも検出されてい るため、注意が必要です。 予防として、手洗いや消毒を行 いましょう。なお、エンテロウイ ルスは、消毒用アルコールが効き にくいとされているため、乳幼児,,,,,,
手足口病,,,7,8,3,,6,2,3,6,8,43,,1,18,14,,,4,,3,1,1,,1,,,,,,,,,,,,,,,,
伝染性紅斑,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,1,2,2,,,,2,3,4,14,,6,5,1,,,2,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,1,,,,,8,3,12,,,7,2,,,1,,1,,,,,,1,,,,,,,,,,,,,,
流行性耳下腺炎,,,2,1,,,1,,,4,11,19,,,,2,,,3,,6,5,1,,,,,,1,,1,,,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,の集団生活では、2度拭きや次亜 塩素酸Naなどを用いた消毒をしま しょう。,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,,7歳,,8歳,9歳,～14歳,,～19歳,～29歳,～39歳,,～49歳,～59歳,,～69歳,,70歳～,ク
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症4例：1～4歳 男女 ○ロタウイルス感染症1例：10歳 男 ○アデノウイルス感染症2例：0～1歳 男女 ○伝染性単核症1例：10歳 男 中央区○ロタウイルス感染症2例：1～3歳 男女 ○カンピロバクター腸炎1例：8歳 女,,,,,,,北 区○アデノウイルス感染症5例：1～4歳 男女 ○細菌性腸炎（カンピロバクター）1例：3歳 女 ○細菌性腸炎（病原性大腸菌O1）1例：3歳 女 垂水区○細菌性腸炎（カンピロバクター）1例：不明 ○ヒトメタニューモウイルス肺炎1例：不明 西 区○細菌性腸炎（カンピロバクター）1例：2歳 女 ○細菌性腸炎（病原性大腸菌O25）1例：2歳 女 ○アデノウイルス感染症1例：2歳 性別不明,,,,,,,,,【結核に関する情報】 今週の結核届出患者数は6人（うち潜在性結核感染症2人）です。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,【市内の感染症の状況】 ・注意報および警報水準の感染症はありません。 ・定点からの細菌性腸炎の報告が増えています。肉を生や加熱不十分で 喫食しないようにしましょう。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,（ 〔お知ら 神戸,,,,お肉はよく焼いて食べよう ｜厚生労働省,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A 型,,,B 型,,らをクリック,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,8,,,,
（インフルエンザ定点機関から報告された迅速キット陽性情報） 基幹定点（市内 3ヶ所）からの報告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細菌性髄膜炎3例：69～73歳 男女,,,,,,,,,,〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕 「ILI情報センター」ホームページを開設しています。詳細はこちらをクリック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
