
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,,,4歳,,,5歳,,,6歳,,,7歳,,,8歳,,9歳,～14歳,,～19歳,,～29歳,～39歳,,～49歳,,～59歳,,～69歳,～79歳,
インフルエンザ,,,,,,,4,1,,3,3,11,,,,,,,,,,,,,,1,,,,,,2,,,,,1,,,1,,1,,2,,2,1,

疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,,,4歳,,,5歳,,,6歳,,,7歳,,,8歳,,9歳,～14歳,,～19歳,
ＲＳウイルス感染症,,,,,,,,,,,2,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,6,1,1,1,2,4,2,12,2,31,,1,10,6,8,,,5,,,,,,1,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,3,11,5,,14,,3,6,27,69,,,4,4,4,,,9,,,13,,,11,,,4,,,8,,2,8,,1,
感染性胃腸炎,,,20,18,8,6,35,19,44,95,40,285,2,12,43,42,23,,,30,,,19,,,19,,,13,,,17,,13,25,,8,
水痘,,,1,,1,,5,,1,,2,10,,1,,,1,,,1,,,2,,,2,,,,,,1,,,1,,1,
手足口病,,,2,2,1,1,3,1,14,12,11,47,,1,24,6,4,,,4,,,2,,,2,,,1,,,,,,2,,1,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,1,,1,,,1,,4,4,11,,5,6,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,1,,3,,,1,1,,2,8,,2,3,1,,,,,,,2,,,,,,,,,,,,,,,
流行性耳下腺炎,,,2,4,1,,4,1,2,4,7,25,,,1,1,3,,,3,,,6,,,1,,,5,,,,,2,2,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,,,4歳,,,5歳,,,6歳,,,7歳,,,8歳,,9歳,～14歳,,～19歳,,～29歳,～39歳,,～49歳,,～59歳,,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,2,,1,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
