
疾病名称,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,～12ヶ月,1歳,,2歳,,,3歳,,,4歳,,,5歳,6歳,,7歳,,8歳,9歳,～14歳,～19歳,～29歳,,～39歳,～49歳,～59歳,,～69歳,～79歳
インフルエンザ,,,,,5,1,,,,,,,,2,,8,,,,,,2,,,,,,,,,,,1,,,1,,,,1,,,,,2,,,,1

小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アデノウイルスが原因となる咽 頭結膜熱や流行性角結膜炎が流行 しています。 咽頭結膜熱（プール熱）は、全 国の第21週（5/22～5/28）の報告 において過去10年のピークを超 え、本市でも第21、22週に多数の 報告がありました。また、流行性 角結膜炎の患者も毎週のように報 告されています（第22週：6名、 第21週：3名、第20週：3名）。流 行性角結膜炎は、7～12日の潜伏 期を経て、急に眼の結膜の充血と 浮腫などが起こり発症します。 さらに、角膜に炎症が起こり、 傷が残ると、視力が障害されるこ ともあります。また、咽頭結膜熱 および流行性角結膜炎は、感染力 が強く、学校保健安全法上、医師 が感染のおそれがないと認めるま で出席停止となります。 手洗いの励行や個人用のタオル を使用するなど、接触感染予防に 努めましょう。,,,,
疾病名称,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,～12ヶ月,1歳,,2歳,,,3歳,,,4歳,,,5歳,6歳,,7歳,,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,,,,,,,,,,,,,1,1,2,,,,,1,1,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,6,,,,,3,,,1,7,2,19,,,,,1,7,,3,,,2,,,2,,,4,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,10,4,4,,,9,,1,7,4,17,56,,,,,,,,8,,,6,,,8,,,11,3,,5,,3,5,6,1
感染性胃腸炎,,,,,18,15,12,,8,23,,16,31,109,17,249,,,,2,13,43,,21,,,26,,,22,,,21,18,,7,,11,15,27,2
水痘,,,,,3,,,,1,3,,,,,,7,,,,,,1,,1,,,2,,,,,,,,,,,2,1,,
手足口病,,,,,11,,1,,1,11,,1,14,24,9,72,,,,,7,31,,14,,,4,,,8,,,3,,,1,,1,1,,
伝染性紅斑,,,,,,,,,,,,1,,1,,2,,,,,,2,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,3,,1,,,2,,1,4,1,2,14,,,,,2,10,,1,,,,,,1,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,1,,,,,,,,2,7,3,13,,,,,3,3,,1,,,1,,,2,,,1,,,,,1,,1,
流行性耳下腺炎,,,,,,,1,,,1,,1,1,2,11,17,,,,,,1,,,,,4,,,2,,,3,3,,,,3,1,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,～12ヶ月,1歳,,2歳,,,3歳,,,4歳,,,5歳,6歳,,7歳,,8歳,9歳,～14歳,～19歳,～29歳,,～39歳,～49歳,～59歳,,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,1,,,,,,,1,,2,2,6,,,,,,1,,1,,,2,,,,,,,,,,,,,1,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
