
疾病名称,,,,,,,,,,東灘,灘,,,中央,,兵庫,,北,,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,,1歳,2歳,,3歳,,4歳,,5歳,6歳,7歳,,,8歳,,9歳,～14歳,,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,,,1,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,

疾病名称,,,,,,,,,,東灘,灘,,,中央,,兵庫,,北,,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,,1歳,2歳,,3歳,,4歳,,5歳,6歳,7歳,,,8歳,,9歳,～14歳,,～19歳,20歳～,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,9,1,,,,,,,1,,,3,1,7,3,25,,,,3,,10,2,,3,,2,,1,2,1,,,1,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,11,11,,,4,,,,12,,,2,8,8,27,83,,,,1,,2,6,,7,,12,,9,12,8,,,7,,2,10,,3,4,
感染性胃腸炎,,,,,,,,,,29,7,,,10,,5,,32,,,13,37,76,32,241,,,2,13,,32,25,,29,,20,,16,13,16,,,12,,9,31,,4,19,
水痘,,,,,,,,,,2,2,,,,,,,3,,,1,,1,,9,,,,,,1,,,2,,,,,,1,,,3,,,2,,,,
手足口病,,,,,,,,,,13,1,,,2,,1,,13,,,7,22,40,12,111,,,,11,,42,26,,12,,6,,10,,1,,,1,,2,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
突発性発疹,,,,,,,,,,3,1,,,1,,,,,,,1,1,3,3,13,,,,2,,6,4,,1,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,1,,,,,,1,,3,,,1,3,7,5,21,,,,2,,6,6,,3,,2,,2,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,1,,,1,,,,2,,,,2,4,1,11,,,,,,,,,,,2,,3,2,3,,,1,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,,,東灘,灘,,,中央,,兵庫,,北,,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,,1歳,2歳,,3歳,,4歳,,5歳,6歳,7歳,,,8歳,,9歳,～14歳,,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
