
疾病名称,,,,,,,,,,,,,,東灘,,灘,中央,,兵庫,北,,長田,,須磨,垂水,西,計,～6ヶ月,～12ヶ月,,,,1歳,,,2歳,,3歳,,4歳,,5歳,,,6歳,,7歳,,,8歳,,9歳,,～14歳,,,～19歳,,,～29歳,,～39歳,,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

疾病名称,,,,,,,,,,,,,,東灘,,灘,中央,,兵庫,北,,長田,,須磨,垂水,西,計,～6ヶ月,～12ヶ月,,,,1歳,,,2歳,,3歳,,4歳,,5歳,,,6歳,,7歳,,,8歳,,9歳,,～14歳,,,～19歳,,,20歳～,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,3,,2,,,,,,2,,4,10,1,22,,3,,,,7,,,2,,2,,1,,1,,,1,,,,,,,2,,2,,,,,,1,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,13,,5,5,,,17,,2,,,7,16,65,,,,,,,,,3,,6,,9,,13,,,6,,9,,,6,,7,,4,,,,,,2,,,
感染性胃腸炎,,,,,,,,,,,,,,10,,11,1,,1,25,,13,,37,68,24,190,3,13,,,,29,,,17,,13,,20,,13,,,14,,11,,,10,,7,,18,,,6,,,16,,,
水痘,,,,,,,,,,,,,,3,,,,,1,2,,,,2,2,,10,,,,,,1,,,,,,,1,,1,,,,,1,,,2,,,,3,,,,,,1,,,
手足口病,,,,,,,,,,,,,,24,,13,14,,4,18,,15,,37,60,40,225,2,26,,,,84,,,50,,21,,18,,11,,,7,,1,,,,,2,,,,,,,,3,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,,,,,,,,1,,1,2,,,,,,,1,1,7,13,,3,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,2,,,,,4,2,,1,,6,10,7,32,,4,,,,13,,,8,,2,,3,,1,,,,,,,,1,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,1,1,,,1,,1,,3,7,4,18,,,,,,1,,,,,2,,2,,6,,,2,,1,,,,,1,,3,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,,,,,,,東灘,,灘,中央,,兵庫,北,,長田,,須磨,垂水,西,計,～6ヶ月,～12ヶ月,,,,1歳,,,2歳,,3歳,,4歳,,5歳,,,6歳,,7歳,,,8歳,,9歳,,～14歳,,,～19歳,,,～29歳,,～39歳,,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,1,,,,,,2,,,,2,5,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
