
疾病名称,,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,,～6ヶ月,,,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,7歳,8歳,,,9歳,～14歳,～19歳,,,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

疾病名称,,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,,～6ヶ月,,,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,7歳,8歳,,,9歳,～14歳,～19歳,,,20歳～,
ＲＳウイルス感染症,,,,,,,3,,3,,,,,,,,4,10,,,,,,,,,1,5,4,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,2,1,,,,3,,,,3,2,11,,,,,,,,,1,1,1,,,3,,2,1,,,1,,,,,,,,1,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,3,7,,,,15,,1,2,2,12,42,,,,,,,,,,1,4,,,4,,4,5,3,2,2,,,5,7,3,,,2,
感染性胃腸炎,,,,,,,8,4,4,,10,15,,11,22,46,16,136,,,,,,,,,12,22,12,,,14,,11,12,8,4,5,,,6,14,4,,,12,
水痘,,,,,,,3,,,,,5,,,,8,,16,,,,,,,,,,1,1,,,3,,3,1,2,2,3,,,,,,,,,
手足口病,,,,,,,72,9,26,,16,56,,35,63,126,63,466,,,,,,2,,,32,129,94,,,77,,46,39,18,6,2,,,5,4,1,,,11,
伝染性紅斑,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
突発性発疹,,,,,,,6,1,,,1,,,1,,1,4,14,,,,,,1,,,6,5,2,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,11,9,3,,,15,,8,19,10,14,89,,,,,,,,,7,25,15,,,9,,10,12,4,2,3,,,1,1,,,,,
流行性耳下腺炎,,,,,,,2,6,,,,8,,2,2,18,1,39,,,,,,,,,1,,1,,,2,,3,7,7,4,5,,,3,4,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,,～6ヶ月,,,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,7歳,8歳,,,9歳,～14歳,～19歳,,,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,2,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,,他の感染症情,,,情報】,】 【,,,,,【市,,,,,,,,,,,】,,,,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症1例：1歳 男 灘 区○咽頭結膜熱および 溶血性レンサ球菌感染症（混合感染） 1例：1歳 女 北 区○アデノウイルス感染症2例：1歳 男、5歳 女 ○ノロウイルス感染症1例：1歳 男 垂水区○アデノウイルス感染症2例：3歳 男、5歳 男,,,,,,,,,,,,,,,,,ーは神戸,今週の手足口病の定点あたり患者数は15.0人です。 市内では、 警報レベル（定点あたり5人以上）継続中です。 手足口病 警報レベル期間（第26週～）の病原体別報告数（累積）,,,,,,,,,,,,,,,,,,,,,,,,,,手足口病について｜神戸市ホームページ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,コクサッキーウイルスA6型,,,,,,,,,,,コクサッキーウイルスA10型,,,,,,,エンテロウイルス71型,,,,,型,,,,,
,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【行政検査情報】※行政検査：公衆衛生上、問題となる病原体について市が行う検査 ○日本紅斑熱（四類感染症）疑い：22歳 男 検査結果：陰性 山中で何かに刺された数日後、症状が出現した。 症状：左下腿腫脹、発赤、発熱、関節痛、発疹など,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,【医療機関のみなさまへ】 重症熱性血小板減少症候群（SFTS）に関して、厚生労働省 感染することが否定できないとの報告がありました。医療 の刺咬歴に加え、ネコ等の動物との接触歴も確認をお願,,,,,,,,,,,,,,,,,,,,,重症熱性血小板減少症候群（SFTS）について|厚生労働省,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,省より発症したネコやイヌの体液等からヒトが 療機関において、疑わしい症状があれば、ダニ いします。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
