,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年8月2日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 30週 平成29年7月24日 ～ 平成29年7月30日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,,東灘,,灘,中央,,兵庫,,北,,長田,,須磨,垂水,西,計,,,,,,,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,,9歳,,～14歳,～19歳,,～29歳,～39歳,～49歳,,～59歳,～69歳,～79歳 80歳～
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報告定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8月4日は、国立感染症研究所が 定めた「はしか予防の日」です。 一般に、はしかと称される麻し んは、空気感染し、感染力がきわ めて強く、免疫を持っていない人 が感染すると高い確率で発症しま す。現在、国内土着株（D5型）の 発生はなく、WHOから麻しんウイ ルスが存在しない「麻しん排除 国」に認定されていますが、海外 で感染し、国内に持ち込まれた麻 しん事例が散発しています。今年 に入ってから、市内での発生報告 はありませんが、全国では、第28 週（7月16日）までに164例の発生 報告がありました（暫定数）。 手洗い、マスクのみでの予防は 難しいため、ワクチン接種が有効 な予防法です。夏休みなどで海外 へ出かける際は、渡航先の流行状 況を確認しましょう。また、ワク チンを2回接種しておらず、麻し んにかかったことがない人は、接 種を検討しましょう。,,,,
疾病名称,,,,,,,,,東灘,,灘,中央,,兵庫,,北,,長田,,須磨,垂水,西,計,,,,,,,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,,9歳,,～14歳,～19歳,,20歳～,,,,,,
ＲＳウイルス感染症,,,,,,,,,4,,,2,,,,,,,,,,2,8,,,,,,,,1,6,,,,1,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,1,,,,,,,,,,,3,6,,10,,,,,,,,1,2,3,,,1,,,1,,1,1,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,2,,4,1,,,,4,,,,,2,3,16,,,,,,,,,1,1,,,1,2,2,,,3,2,,,,3,,,1,,,,,,
感染性胃腸炎,,,,,,,,,7,,4,6,,3,,22,,10,,26,39,6,123,,,,,,,,12,20,12,,,13,6,8,4,,3,7,,1,,11,4,,22,,,,,,
水痘,,,,,,,,,3,,7,,,,,5,,,,,1,1,17,,,,,,,,1,5,1,,,1,,4,1,,,2,,,,2,,,,,,,,,
手足口病,,,,,,,,,58,,2,28,,5,,33,,25,,65,86,47,349,,,,,,,3,32,100,71,,,42,41,25,12,,9,3,,2,,3,2,,4,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,,,3,,,,,,,,,,,,1,3,7,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
ヘルパンギーナ,,,,,,,,,4,,6,2,,1,,10,,11,,20,17,11,82,,,,,,,1,3,18,15,,,15,12,8,2,,3,2,,2,,1,,,,,,,,,
流行性耳下腺炎,,,,,,,,,3,,5,,,,,6,,,,,7,8,29,,,,,,,,,1,,,,1,4,3,6,,5,2,,1,,5,,,1,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麻しんがゼロ｜厚生労働省,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,,東灘,,灘,中央,,兵庫,,北,,長田,,須磨,垂水,西,計,,,,,,,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,,9歳,,～14歳,～19歳,,～29歳,～39歳,～49歳,,～59歳,～69歳,70歳～ ージ ージ 省 市 細はこちらをクリック
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,1,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,,機関,関,,,,,,,,,他の感染症情,,,,情報】,】 【,,,,,,,,,市内,,内の感染症の状況】,,,,,】,,,,,,,,,,,,,,,,,,,,,
,,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,今週の手足口病の定点あたり患者数は11.3人です。 市内では、 警報レベル（定点あたり5人以上）継続中です。 手足口病 警報レベル期間（第26週～）の病原体別報告数（累積）,,,,,,,,,,,,,,,,,,,,,,,,,手足口病について｜神戸市ホームページ 手足口病について｜神戸市ホームページ,,,,,,,
北 区○細菌性腸炎（病原性大腸菌O25）1例：12歳 男 ○アデノウイルス感染症1例：2歳 女 垂水区○アデノウイルス感染症1例：6歳 女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,コクサッキーウイルスA6型,,,,,,,,,コクサッキーウイルスA10型,,,,,,,,エンテロウイルス71型,,,,,,,,,,,,
○細菌性腸炎（病原性大腸菌O1）1例：年齢性別不明,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,
○細 西 区○細,,,,,細菌性 細菌性,性,,性腸炎（病原性 性腸炎（カンピ,,性大腸菌O18）1例：年齢 ピロバクター）1例：5歳 女,,,,,,,,齢性 女,性別不明 女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夏休みにおける海外での感染症予防について|厚生労働省,,,,,,,,,,
