,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年8月29日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 34週 平成29年8月21日 ～ 平成29年8月27日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,東灘,灘,中央,,兵庫,,北,,長田,須磨,垂水,西,計,,,,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,3歳,,4歳,5歳,,6歳,7歳,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳 80歳～
インフルエンザ,,,,,,,,1,,1,,,,,,,,2,,4,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,1,,,,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,東灘,灘,中央,,兵庫,,北,,長田,須磨,垂水,西,計,,,,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,3歳,,4歳,5歳,,6歳,7歳,8歳,9歳,,～14歳,～19歳,20歳～,,今週も3例の腸管出血性大腸菌感 染症発生の届出がありました（今 年21件目）。8月は、既に10件の 届出があり、過去5年のなかでも 一番多くなっています。さらに、 重症化（HUS発症）事例も2件（0 ～4歳、50代）報告されていま す。また、定点医療機関からも病 原性大腸菌が原因の腸炎の報告が 4例報告されています。 関東地方では、腸管出血性大腸 菌O157のなかでもベロ毒素のVT2 型が検出される患者が急増してお り、ポテトサラダや焼肉を推定原 因とする腸管出血性大腸菌の集団 食中毒も発生しています。 腹痛、下痢（血便含む）など、 当疾患を疑う症状が現れた場合 は、速やかに医療機関を受診する とともに、周りへの感染予防とし て、十分に手洗いを行いましょ う。,,,
ＲＳウイルス感染症,,,,,,,,7,,3,,1,,5,,1,13,14,2,46,,,,,,,,6,,6,,17,10,,6,,1,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,7,,,,,,,,1,3,2,1,14,,,,,,,,,,,,3,3,,3,,3,,,,2,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,3,2,1,,,,2,,4,3,3,4,22,,,,,,,,,,,,2,3,,1,,4,1,,,1,3,2,,2,1,2,,,,,
感染性胃腸炎,,,,,,,,3,9,4,,4,,11,,4,21,44,11,111,,,,,,,,3,,10,,19,14,,4,,8,11,,3,6,2,4,,11,2,14,,,,,
水痘,,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
手足口病,,,,,,,,14,,6,,2,,6,,4,3,9,4,48,,,,,,,,1,,7,,13,10,,5,,3,2,,3,,,1,,2,,1,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,,1,,1,,,,,,1,1,2,3,9,,,,,,,,,,2,,6,1,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,1,,8,,,,3,,2,8,7,1,30,,,,,,,,,,3,,15,5,,1,,1,1,,,1,1,1,,1,,,,,,,
流行性耳下腺炎,,,,,,,,,1,,,,,1,,,4,6,1,13,,,,,,,,,,,,1,,,1,,2,3,,2,,1,3,,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,腸管出血性大腸菌感染症について,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
