,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年9月5日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 35週 平成29年8月28日 ～ 平成29年9月3日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,兵庫,,北,,長田,須磨,垂水,西,計,,,,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,3歳,,4歳,5歳,,6歳,7歳,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳 80歳～
インフルエンザ,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,,,1,2,,1,,,,,,,,,
報告定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9月4日から、インフルエンザ対 策の新シーズンが始まりました。 シーズン中は、市内の学校園での インフルエンザによる学級閉鎖の 情報を収集し、神戸市のホーム ページ等で情報発信します。ま た、流行期(定点あたりの報告数 が1人以上)には、定点医療機関か らの病原体情報やインフルエンザ による入院患者情報を週報でお知 らせします。 今週は、定点医療機関からのイ ンフルエンザの報告が5件あり、 全てA型で、同一集団での感染と の情報がありました。現時点で流 行の開始とは捉えていませんが、 例年より早い流行の可能性も考え て、注意が必要です。 施設等では、地域の流行状況を 確認し、流行前のワクチン接種や 職員・利用者の健康チェック、職 員間の情報共有を行い、インフル エンザを施設内に持ち込まないた めの対策を検討しましょう。,,,
疾病名称,,,,,,,東灘,灘,中央,,兵庫,,北,,長田,須磨,垂水,西,計,,,,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,3歳,,4歳,5歳,,6歳,7歳,8歳,9歳,,～14歳,～19歳,20歳～,,,,,
ＲＳウイルス感染症,,,,,,,13,,6,,1,,15,,2,17,19,25,98,,,,,,,,9,,21,,36,24,,8,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,4,,,,,,,,3,,2,1,10,,,,,,,,,,,,4,1,,1,,3,,,,,,,,1,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,1,2,3,,,,4,,,2,4,7,23,,,,,,,,,,,,,1,,1,,4,3,,4,2,2,4,,1,1,,,,,,
感染性胃腸炎,,,,,,,8,2,,,3,,5,,7,25,44,11,105,,,,,,,,1,,8,,17,15,,10,,14,4,,7,3,2,2,,5,4,13,,,,,
水痘,,,,,,,5,,1,,,,1,,,,1,1,9,,,,,,,,,,,,1,,,,,,,,2,2,,,,4,,,,,,,
手足口病,,,,,,,15,4,3,,1,,5,,1,6,9,4,48,,,,,,,,1,,6,,13,4,,8,,4,5,,3,1,,,,1,,2,,,,,
伝染性紅斑,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,3,,,,,,1,,1,1,4,,10,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,
