"神戸市感染症発生動向調査週報 平成29年2月1日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第4週 2017年 1月 23日 ～ 2017年 1月 29日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,270,131,97,79,190,132,198,,232,301,,"1,630",5,,13,46,57,,,49,80,78,95,81,,82,91,,375,120,61,105,107,78,60,34,13
"報告定点数 31 ヶ所 （内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,20歳～,,インフルエンザの定点あたり患者 数は34.0人となり、本格的な流行 を示す警報レベル(30人以上)を超 えました。過去の動向をみると、 警報レベルを超えた週又はその次 の週に流行のピークを迎えること が多いです。市内学校園の学級閉 鎖も急増しています。 インフルエンザは稀にインフルエ ンザ脳症と呼ばれる重症の急性脳 炎を発症することがあります。呼 びかけても反応しない、痙攣を起 こす、意味不明なことを言うなど 重症化のサインがあればすぐに医 療機関を受診しましょう。 【学校園 出席停止のめやす】 発症後５日を経過し、かつ解熱後 ２日（乳幼児にあっては３日）を 経過するまで,,,,
ＲＳウイルス感染症,,1,,,,,,3,,,1,,5,,,,4,1,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,4,,1,,,1,,,4,2,,12,,,,1,1,,,2,1,3,2,1,,,,,1,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,4,1,,6,1,3,,4,16,,35,,,,2,1,,,3,5,6,3,2,,5,2,,5,,1,,,,,,
感染性胃腸炎,,5,10,16,5,23,14,22,,60,26,,181,5,,4,19,19,,,10,12,16,12,9,,11,9,,19,10,26,,,,,,
水痘,,2,,1,,,,2,,1,3,,9,,,3,,1,,,1,1,,2,1,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
突発性発疹,,2,,,,2,,,,3,3,,10,2,,4,3,1,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,6,1,5,,9,4,4,,3,3,,35,,,1,1,2,,,4,5,6,5,2,,1,,,5,1,2,,,,,,
"報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北 区○アデノウイルス感染症２例：０～４歳男女（６５０５） 垂水区○ノロウイルス感染症１例：０～４歳女（６８０２） 垂水区○病原性大腸菌感染症１例：年齢・性別不明（６８０４） 垂水区○ヒトメタニューモウイルス感染症５例：年齢・性別不明（６８０４） 西 区○アデノウイルス感染症５例：年齢・性別不明（６９０３） 西 区○ロタウイルス感染症３例：年齢・性別不明（６９０３）,,,,,,,,,,,,,,"【結核に関する情報】 今週の結核届出患者数は21人（うち潜在性結核感染症3人）です。 【市内の感染症の状況】 ●三類感染症である細菌性赤痢の届出がありました（海外渡航歴あり：モロッコ）。 ※海外からの帰国時に症状がある方は、空港の検疫所へご相談ください。 ●2016年の梅毒報告数は神戸市58人、全国4,518人（速報値）といずれも過去最多 でした。国内の患者数が4,000人を超えたのは1974年以来42年ぶりです。",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（インフルエンザ定点機関から報告された迅速キット陽性情報） 〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけま 神戸市 発生動向 〔検索〕 「ILI情報センター」ホームページを開設しま,,,,,,,,,A 型,,,B 型,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,【感染症発生動向調査事業実施要綱】 . http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1417,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ます。 ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する ました！詳細はこちらをクリック システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
