,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年10月12日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 40週 平成29年10月2日 ～ 平成29年10月8日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,7歳,8歳,9歳,～14歳 ～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳 80歳～
インフルエンザ,,,,,,2,1,,,,,,,5,1,1,10,,,,,,,,,,,,,1,,,1,1,2,,,1,,1,,1,2,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,7歳,8歳,9歳,～14歳 ～19歳,20歳～,,毎年、冬季は、ウイルス性胃腸 炎が流行します。 病因ウイルスとしては、乳幼児 の嘔吐下痢症の原因となるロタウ イルスや全年齢でみられるノロウ イルスなどがあります。 感染後、1～2日後に嘔吐、下痢 等の症状を呈することが多く、発 症後、2～3週間は便中にウイルス が排出されます。 当疾患を含む、定点医療機関か らの感染性胃腸炎の報告数は、例 年並みで、まだ警報レベル（定点 あたりの報告数が20人以上）では ありませんが、神戸モデルの連絡 票（※）では、既に数ヶ所の未就 学児施設から、ウイルス性胃腸炎 が複数名発生している事例の報告 があります。普段から、十分な手 洗いを励行し、施設等では、警報 レベルになる前に、次亜塩素酸ナ トリウムを用いた消毒の準備等を 行い、感染を予防しましょう。,,,
ＲＳウイルス感染症,,,,,,7,1,1,,2,7,,,6,14,7,45,,,,6,,,,8,16,10,,,3,,,2,,,,,,,,,,,
咽頭結膜熱,,,,,,1,,,,,2,,,,,,3,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,3,1,2,,,3,,,3,1,7,20,,,,,,,,,,,,,1,,4,6,5,,,2,1,1,,,,,
感染性胃腸炎,,,,,,1,,2,,3,9,,10,16,37,12,90,,,,1,,,,5,8,13,,,11,,7,7,8,4,3,2,9 6,6,,,,,
水痘,,,,,,1,,2,,,,,1,,3,6,13,,,,,,,,,3,1,,,1,,,,2,1,2,,3,,,,,,
手足口病,,,,,,2,2,,,,1,,,1,1,,7,,,,,,,,,2,1,,,,,2,,1,,1,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,,1,,,,,,4,,5,10,,,,,,,,4,6,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,1,,,1,,1,,,1,4,,,,,,,,2,1,,,,,,,,,,1,,,,,,,,
流行性耳下腺炎,,,,,,2,1,1,,,3,,2,,1,2,12,,,,,,,,,,,,,,,1,3,4,1,1,,2,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,7歳,8歳,9歳,～14歳 ～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～ H
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,2,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,他の感染症情,,,情報】,】 【,,,,,【市,,市内の感染症の状況】,,,,,,,,】,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
灘 区○マイコプラズマ肺炎1例：6歳 男 北 区○細菌性腸炎（病原性大腸菌O1）1例：1歳 男 ○細菌性腸炎（病原性大腸菌O18）1例：8歳 男 ○細菌性腸炎（病原性大腸菌O125）1例：0歳11ヶ月 男 垂水区○細菌性腸炎（カンピロバクター）1例：年齢性別不明,,,,,,,,,,,,,,,,,○RSウイルス RSウイルス患者の報告が、定点あたり1.5人となり、先週と比較してやや多いです（先週1.4人）。 患者数は、過去10年同時期と比較して、多い数で推移しています。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,【海外に渡航したみなさまへ】 海外では、さまざまな感染症が流行しています（蚊媒介感染症など）。 渡航後、約1ヶ月の間に体調が悪くなった場合は、速やかに医療機関を受診しましょう。また、受診時は、,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,海外渡航歴を伝えましょう。 ここに注意！海外渡航にあたって|FORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,【コメント欄の用語解説】 ※ 神戸モデル（感染症早期探知・地域連携システム）：地域・学校園・施設・医療機関等と保健所・区との,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
