,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"平成29年11月2日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第 43週 平成29年10月23日 ～ 平成29年10月29日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,,,,,,,9,,,,,3,,1,,3,,16,,,,,,,,,3,,,,4,1,1,,,,,,,,1,1,1,,3,1
"報告定点数 31 ヶ所 （内訳）東灘4,灘2,中央2,兵庫2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ここ1ヶ月の定点医療機関（※ 1）からの感染性胃腸炎の報告 は、定点あたり3人前後でほとん ど変化がありません。しかし、今 週の神戸モデルの連絡票（※2） では、感染性胃腸炎が複数名発生 していると報告が3件あり、その うち、2件は、ノロウイルスでし た。例年、冬に流行するため、今 後の動向に注意しましょう。 ノロウイルスは、感染した人の 吐物や便を介した二次感染が起こ るため、施設等では、流行状況を 把握し、早めの対策を行い、集団 発生を予防しましょう。,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,,,,,
ＲＳウイルス感染症,,,,,,,5,,1,,,1,8,,1,3,9,9,37,,,,6,,,,7,13,4,,,3,4,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,2,,,,,,,,,,4,,6,,,,,,,,,2,3,,,1,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,4,3,1,,,,5,,1,4,5,7,30,,,,,,,,,,1,,,,6,4,2,8,3,1,4,,1,,,,,,
感染性胃腸炎,,,,,,,2,5,,,,6,12,,8,15,47,9,104,,,,1,,,,7,16,12,,,7,12,6,5,6,2,6,13,3,8,,,,,,
水痘,,,,,,,,,2,,,,2,,1,,1,1,7,,,,,,,,1,1,,,,,,2,,,,,3,,,,,,,,
手足口病,,,,,,,,,2,,,,1,,7,3,,2,15,,,,,,,,,2,4,,,4,,3,,1,1,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,2,,1,,,,1,,,1,3,1,9,,,,,,,,3,5,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,＜お知らせ＞ 神戸市では、11月1日から翌年3 月末をノロウイルス食中毒予防特 別期間としています。定点医療機 関からの報告で感染性胃腸炎の患 者数の増加したときや市内でノロ ウイルスが原因の食中毒事件が発 生した際などに警報・注意報が発 令されます。,,,,
百日咳,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
ヘルパンギーナ,,,,,,,6,,,,,,,,,,1,,7,,,,,,,,,1,,,,1,,1,1,,,2,,1,,,,,,,
流行性耳下腺炎,,,,,,,,1,1,,,,1,,,,1,,4,,,,,,,,,,1,,,,,1,,,,1,1,,,,,,,,
"報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ノロウイルスの食中毒警報・注意報,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,,他の感染症情,,,,情報】,】 【,,,,,【市,,市内の感染症の状況】,,,,,,,,】,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○マイコプラズマ肺炎1例：9歳 男 灘 区○マイコプラズマ肺炎1例：7歳 女 中央区○細菌性腸炎（カンピロバクター）1例：12歳 女 垂水区○細菌性腸炎（病原性大腸菌O1）1例：年齢性別不明 ○細菌性腸炎（病原性大腸菌O111）1例：年齢性別不明 ○細菌性腸炎（カンピロバクター）1例：年齢性別不明,,,,,,,,,,,,,,,,,,,○インフルエンザ 今週のインフルエンザ患者の報告は、定点あたり0.3人です。 まだ流行期（定点あたり1人）ではありませんが、今後の動向に注意しましょう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,【コメント欄の用語解説】 ※1 定点医療機関：感染症法に基づく感染症発生動向調査事業において、市内の感染症の発生情報の正確な把握 および分析のため、県・市で推薦・指定した情報収集に協力いただいている医療機関のこと。 ※2 神戸モデル（感染症早期探知・地域連携システム）：地域・学校園・施設・医療機関等と保健所・区との連携強化により 感染症の流行を早期に把握し、予防を図る取組み。施設からは、感染症または感染症を疑う事例の発生時に,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【 マ,【基幹定点（市 マイコプラズマ肺,,,,,,,,,,】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,市内 3ヶ所）からの報告】 肺炎1例：14歳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,報告をいただいている。,,,,,,,,,,,,,,,,,,,,,神戸モデルについて｜ILI情報センター,,,,,,,
,,,,,,,,,,,,,,,,,,,〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
