,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"平成29年12月12日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第 49週 平成29年12月4日 ～ 平成29年12月10日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,,,～29歳,,～39歳,,～49歳,～59歳,～69歳,～79歳 80歳～
インフルエンザ,,,,,,,11,7,2,,,3,1,,2,8,23,8,65,,,,,,,,,,2,,,1,1,,4,9,2,,7,3,,,4,,7,,5,4,7,6 3
"報告定点数 31 ヶ所 （内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,,,20歳～,,,,今週の感染性胃腸炎の定点医療 機関あたりの報告数は、6.4人 で、例年と比較すると少ないです が、第47週から少しずつ増加して います。（第48週5.6人、第47週 4.2人）。 また、神戸モデル（※）の連絡 票でも未就学児施設からのウイル ス性胃腸炎の報告が今週から増加 しているため、注意が必要です。 ウイルス性の胃腸炎は、冬に多 く、病因物質としては、ノロウイ ルスが多いです、ノロウイルスの 主な感染経路は、カキ等の二枚貝 の生食のほか、感染した人の嘔吐 物や糞便からの二次感染がありま す。 カキ等は、十分に加熱（85～ 90℃で90秒以上）しましょう。 また、下痢・嘔吐時の処理に は、次亜塩素酸ナトリウムを用い た消毒を行いましょう。,,,
ＲＳウイルス感染症,,,,,,,1,,2,,,,6,,,4,5,16,34,,,,4,,,,5,12,10,,,1,1,1,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,4,3,,,,,1,,,3,6,1,18,,,,1,,,,2,4,3,,,3,2,2,,1,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,12,5,1,,,,2,,,2,16,22,60,,,,,,,,,2,6,,,5,10,9,4,7,2,2,11,1,,,1,,,,,,,
感染性胃腸炎,,,,,,,16,14,5,,,12,20,,10,45,39,37,198,,,,,,,,13,37,26,,,11,19,21,9,8,7,4,19,4,,,20,,,,,,,
水痘,,,,,,,1,1,2,,,,3,,,1,,,8,,,,,,,,1,,1,,,,2,1,,,1,1,1,,,,,,,,,,,
手足口病,,,,,,,,,1,,,,1,,,1,,2,5,,,,,,,,,1,1,,,,1,,2,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,1,1,3,,,,,,,,,2,7,,,,,,,,2,4,,,,1,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,2,,1,,,,,,,,,,3,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,
