
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,128,64,82,65,115,71,188,,236,217,,"1,166",1,,12,40,50,,42,75,60,71,52,,49,51,,257,72,59,79,79,40,46,21

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,,,,,,1,,,,1,,2,1,,,1,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,1,1,,1,1,,4,,,1,1,,,1,,,,1,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,2,4,2,,,11,2,,3,9,,33,,,,1,1,,,4,3,6,3,,1,1,,8,1,4,
感染性胃腸炎,,3,9,4,6,16,4,10,,45,17,,114,1,,5,11,10,,9,7,9,11,9,,4,5,,21,3,9,
水痘,,1,,1,,3,,,,,,,5,,,,,,,1,,,3,,,1,,,,,,
手足口病,,,,1,,,3,,,,,,4,,,,1,,,1,,1,,,,,,,,,1,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,,1,,,1,,2,,,,2,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,3,,1,,7,4,1,,4,2,,22,,,,,1,,,3,3,5,2,,1,,,4,,3,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,,
