"神戸市感染症発生動向調査週報 平成29年2月15日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 　（内訳）東灘6,灘3,中央3,兵庫3, 第6週 2017年 2月 6日 ～ 2017年 2月 12日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,128,64,82,65,115,71,188,,236,217,,"1,166",1,,12,40,50,,42,75,60,71,52,,49,51,,257,72,59,79,79,40,46,21,10
"報告定点数 31 ヶ所 　（内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,20歳～,,侵襲性髄膜炎菌感染症の届出があ りました。神戸市ではここ5年間 で3例のみ報告がある希少な感染 症です。 髄膜炎菌は健常者の2～4％の鼻咽 喉に保菌されていますが、咳やく しゃみで飛沫・接触感染し、高熱 や頭痛、嘔吐、髄膜炎、敗血症な ど重症化することがあります。 感染し、発症する率は高くありま せんが、致死率（10～15％）及び 後遺症を残す可能性が非常に高く 注意を要する疾患です。 学生寮などで共同生活を行う10代 が最もリスクが高いとされ、2011 年5月の宮崎県の高校寮では死亡 例含む集団感染が発生しました。 感染拡大防止のため、診断後でき るだけ早く（可能であれば24時間 以内に）同居者や所属する集団へ の内服薬や注射による予防投与が 推奨されています。診断した医師 は直ちに届出をお願いします。,,,,
ＲＳウイルス感染症,,,,,,,1,,,,1,,2,1,,,1,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,1,1,,1,1,,4,,,1,1,,,1,,,,1,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,2,4,2,,,11,2,,3,9,,33,,,,1,1,,,4,3,6,3,,1,1,,8,1,4,,,,,,
感染性胃腸炎,,3,9,4,6,16,4,10,,45,17,,114,1,,5,11,10,,9,7,9,11,9,,4,5,,21,3,9,,,,,,
水痘,,1,,1,,3,,,,,,,5,,,,,,,1,,,3,,,1,,,,,,,,,,,
手足口病,,,,1,,,3,,,,,,4,,,,1,,,1,,1,,,,,,,,,1,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,,1,,,1,,2,,,,2,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,3,,1,,7,4,1,,4,2,,22,,,,,1,,,3,3,5,2,,1,,,4,,3,,,,,,
"　 報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北　 区○アデノウイルス感染症１例：０～４歳男（６５０５） 垂水区○細菌性腸炎（病原性大腸菌O1）１例：年齢・性別不明（６８０４） 垂水区○細菌性腸炎（カンピロバクター）１例：年齢・性別不明（６８０４） 垂水区○ヒトメタニューモウイルス感染症２例：年齢・性別不明（６８０４） 西　 区○アデノウイルス感染症１例：０～４歳女（６９０２） 西　 区○アデノウイルス感染症１例：年齢・性別不明（６９０３）,,,,,,,,,,,,,,【結核に関する情報】　　今週の結核届出患者数は18人（うち潜在性結核感染症4人）です。 【市内の感染症の状況】 ・インフルエンザの定点あたり患者数は24.3人となり、警報は解除されました(先週は36.3人)。 　 ・今シーズン初めてインフルエンザによる急性脳炎の届出がありました。 　 ・日本紅斑熱の届出がありました。（神戸市では年間0～1例の報告があります）。,,,,,,,,,,,,,,,,,,,,,,,
