"神戸市感染症発生動向調査週報 平成29年2月22日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 　（内訳）東灘6,灘3,中央3,兵庫3, 第7週 2017年 2月 13日 ～ 2017年 2月 19日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,75,48,54,28,120,50,135,,186,215,,911,3,,6,36,44,56,57,55,53,48,50,33,149,37,45,64,73,40,26,26,10
"報告定点数 31 ヶ所 　（内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,国内のウイルス性肝炎の持続感染 者は、B型が110万人～140万人、C 型が190万人～230万人と推定され ています。 感染時期がはっきりしないことや 自覚症状のないことが多いため、 適切な時期に治療を受けることが できず、気づかないうちに肝硬変 や肝がんへ移行する感染者の多い ことが問題になっています。 神戸市では、過去にB型・C型肝炎 ウイルス検査を受けたことがない 方を対象に、市内の指定医療機関 または特定健診会場にて無料で検 査を実施しています（年齢等条件 あり）。 兵庫県では、上記の検査を受けて 陽性となった方に対して初回精密 検査費用を助成する制度や、治療 費を助成する制度があります。 詳細はホームページでご確認くだ さい。,,,,
ＲＳウイルス感染症,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
咽頭結膜熱,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,4,4,2,,2,2,,,4,7,,25,,,,,3,4,2,2,3,,3,2,4,,2,,,,,,
感染性胃腸炎,,11,9,7,9,19,7,10,,55,27,,154,,,3,15,17,12,11,15,8,10,4,6,26,5,22,,,,,,
水痘,,5,1,,,2,,,,,1,,9,,,,,1,1,1,,2,1,,2,1,,,,,,,,
手足口病,,,,3,,,,2,,,,,5,,,,1,3,,1,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,2,,,,,,,,2,5,,9,1,,5,2,,1,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
