
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,61,31,37,19,75,36,89,,133,117,,598,1,,7,32,32,,,25,,41,,,31,,41,,28,28,25,92,,30,35,,43,40,24,24,12

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳
ＲＳウイルス感染症,,3,,2,,,,,,,1,,6,,,2,4,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,4,4,1,1,4,2,,,4,12,,32,,,,1,1,,,5,,6,,,4,,1,,5,2,3,2,,1
感染性胃腸炎,,10,8,7,2,28,12,24,,57,16,,164,1,,5,22,16,,,12,,23,,,12,,10,,7,7,3,19,,7
水痘,,,,1,,,,,,2,2,,5,,,,,,,,,,2,,,2,,,,1,,,,,
手足口病,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,3,,,,,2,,,,4,,9,,,4,4,1,,,,,,,,,,,,,,,,,
百日咳,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,4,,1,,11,1,4,,5,7,,33,,,,,1,,,2,,5,,,7,,4,,2,4,1,7,,

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,2,,,,,3,,,,,,5,,,,1,,,,,,1,,,,,,,,,,,,,,,2,1,,
