"神戸市感染症発生動向調査週報 平成29年3月1日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第8週 2017年 2月 20日 ～ 2017年 2月 26日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,61,31,37,19,75,36,89,,133,117,,598,1,,7,32,32,,,25,,41,,,31,,41,,28,28,25,92,,30,35,,43,40,24,24,12,7
"報告定点数 31 ヶ所 （内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,20歳～,,,インフルエンザの定点あたり患 者数は12.5人で、4週連続で減少 しました。市内のウイルス検出状 況は、ほとんどがAH3亜型で全国 と同様の傾向ですが、B型の検出 が増加しています。 感染性胃腸炎は例年より患者数 の少ない状況が続いていますが、 第8週はやや増加に転じ、ロタウ イルスの検出報告もありました。 ロタウイルスは、ノロウイルスと ともに感染性胃腸炎の主な病原体 で、冬から春にかけて流行し、白 色の水様性下痢便が頻回みられる ことが特徴です。乳幼児に好発す るため、子ども関連施設での流行 がみられます。手洗いの励行、吐 物・便は次亜塩素酸ナトリウムで 適切に処理しましょう。,,,,
ＲＳウイルス感染症,,3,,2,,,,,,,1,,6,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,4,4,1,1,4,2,,,4,12,,32,,,,1,1,,,5,,6,,,4,,1,,5,2,3,2,,1,1,,,,,,,
感染性胃腸炎,,10,8,7,2,28,12,24,,57,16,,164,1,,5,22,16,,,12,,23,,,12,,10,,7,7,3,19,,7,20,,,,,,,
水痘,,,,1,,,,,,2,2,,5,,,,,,,,,,2,,,2,,,,1,,,,,,,,,,,,,
手足口病,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,3,,,,,2,,,,4,,9,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,4,,1,,11,1,4,,5,7,,33,,,,,1,,,2,,5,,,7,,4,,2,4,1,7,,,,,,,,,,
"報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,2,,,,,3,,,,,,5,,,,1,,,,,,1,,,,,,,,,,,,,,,2,1,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ロタウイルス感染症１例：０～４歳男（６１０１） 灘 区○アデノウイルス感染症（発熱・下痢）１例：０～４歳男（６２０１） 灘 区○マイコプラズマ感染症１例：５～９歳男（６２０２） 中央区○ノロウイルス感染症１例：０～４歳男（６３０１） 北 区○アデノウイルス感染症４例：０～４歳男女、５～９歳女（６５０５） 北 区○病原性大腸菌（O125）感染症１例：０～４歳男（６５０５） 垂水区○ロタウイルス感染症１例：０～４歳男（６８０２） （性感染症定点からの報告） 東灘区○性器クラミジア感染症３例：２０代女、３０代女（８１０１）※全員パートナーの尿道炎から発覚した不顕性感染 垂水区○トリコモナス膣炎２例：年齢・性別不明（８８０２）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
