県立美術館－「芸術の館」－,078-262－0901
県立歴史博物館,079-288－9011
県立人と自然の博物館,079-559－2001
県立考古博物館,079-437－5589
県立円山川公苑美術館,0796-28－3085
人と防災未来センター,078-262－5050(観覧案内・予約)
県立フラワーセンター,0790-47－1182
県立播磨中央公園四季の庭,0795-48－5455
舞子公園 舞子海上プロムナード,078-785－5090
県立淡路夢舞台公苑温室,0799-74－1200
豊雲記念館,078-811－0871
白鶴酒造資料館,078-822－8907
神戸深江生活文化史料館,078-453－4980
神戸大学海事科学研究科海事博物館,078-431－6200
神戸市埋蔵文化財センター,078-992－0656
菊正宗酒造記念館,078-854－1029
美味伝承甲南漬資料館,078-842－2508
「昔の酒蔵」沢の鶴資料館,078-882－7788
灘浜サイエンススクエア,078-882－8136
湊川神社宝物殿,078-371－0001
竹中大工道具館,078-242－0216
ＵＣＣコーヒー博物館,078-302－8880
ＫＯＢＥとんぼ玉ミュージアム,078-393－8500
神戸らんぷミュージアム,078-333－5310
神戸北野美術館,078-251－0581
神戸華僑歴史博物館,078-331－3855
有馬切手文化博物館,078-904－0024
長田神社宝物庫,078-691－0333
須磨寺宝物館,078-731－0416
橋の科学館,078-784－3339
孫文記念館,（移情閣),078-783－7172
最明寺郷土館,078-965－0067
長福寺考古資料館,078-994－0150
尼崎市立田能資料館,06-6492－1777
尼崎市立文化財収蔵庫,06-6429－0362
尼崎信用金庫 世界の貯金箱博物館,06-6413－1163
尼信博物館,（尼信会館),06-6413－1121
近松記念館,06-6491－7555
西宮市貝類館,0798-33－4888
西宮市大谷記念美術館,0798-33－0164
西宮市立郷土資料館,0798-33－1298
西宮市立郷土資料館分館 名塩和紙学習館,0797-61－0880
頴川美術館,0798-51－3915
辰馬考古資料館,0798-34－0130
白鹿記念酒造博物館,0798-33－0008
白鷹禄水苑(暮らしの展示室、白鷹集古館),0798-39－0235
日本盛 酒蔵通り煉瓦館,0798-32－2525
黒川古文化研究所,0798-71－1205
堀江オルゴール博物館,0798-70－0656
芦屋市立美術博物館,0797-38－5432
芦屋市谷崎潤一郎記念館,0797-23－5852
エンバ中国近代美術館,0797-38－0021
俵美術館,0797-23－2878
滴翠美術館,0797-22－2228
伊丹市立博物館,072-783－0582
伊丹市立美術館,072-772－7447
伊丹市立こども文化科学館,072-784－1222
柿衞文庫,072-782－0244
宝塚市立小浜宿資料館,0797-81－3655
宝塚市立手塚治虫記念館,0797-81－2970
宝塚市立歴史民俗資料館
あゆ公園水族館,079-669－1822
旧東家住宅,0797-91－0314
川西市文化財資料館,072-757－8624
川西市郷土館,072-794－3354
川西市歴史民俗資料館,072-740－1244(市教委社会教育課)
大阪青山歴史文学博物館,072-790－3535
三田市立有馬富士自然学習センター,079-569－7727
三田市立歴史資料収蔵センター,079-562－7233
三田市旧九鬼家住宅資料館,079-559－6899
三田市三輪明神窯史跡園,079-563－8211
三田ふるさと学習館,079-563－5587
猪名川町立ふるさと館,072-768－0389
多田銀銅山 悠久の館,072-766－4800
あかりの鹿児資料館,079-421－2191
鶴林寺宝物館,079-454－7053
高砂市歴史民俗資料室,079-448－8255
稲美町立郷土資料館,079-492－3770
播磨町郷土資料館,079-435－5000
にしわき経緯度地球科学館「テラ・ドーム」,0795-23－2772
西脇市郷土資料館,0795-23－5992
西脇市岡之山美術館,0795-23－6223
西脇市立緑風台古窯陶芸館,0795-22－3000
生活協同組合コープこうべ協同学苑史料館,0794-85－5500
三木市立堀光美術館,0794-82－9945
三木市立金物資料館,0794-83－1780
小野市立好古館,0794-63－3390
五百羅漢（羅漢寺),0790-43－0580
加古川流域滝野歴史民俗資料館,0795-48－3422
松内ミネラルコレクション,0795-32－3626
那珂ふれあい館,0795-32－0685
多可町立杉原紙研究所,0795-36－0080
多可町和紙博物館 寿岳文庫,0795-36－0080
姫路市立美術館,（常設展のみ対象),079-222－2288
姫路文学館,079-293－8228
姫路市書写の里・美術工芸館,079-267－0301
名古山霊苑仏舎利塔,079-297－5030
姫路市平和資料館,079-291－2525
圓山記念日本工藝美術館,079-292－3433
大阪ガス 姫路ガスエネルギー館,079-246－1908
姫路市立手柄山温室植物園,079-296－4300
神河町文化財収蔵庫,0790-32－1681(神崎公民館)
神河児童センター「きらきら館」,0790-32－2410
柳田国男・松岡家顕彰会記念館,0790-22－1000
福崎町立神崎郡歴史民俗資料館,0790-22－5699
相生市立歴史民俗資料館,0791-23－2961
赤穂市立歴史博物館,0791-43－4600
赤穂市立美術工芸館（田淵記念館),0791-42－0520
赤穂市立民俗資料館,0791-42－1361
有年考古館,0791-49－2008
大石神社義士史料館,0791-42－2054
花岳寺宝物館・木像堂,0791-42－2068
山崎歴史民俗資料館,0790-74－8855(宍粟市歴史資料館)
山崎歴史郷土館,0790-62－4620(図書館)
播州山崎花菖蒲園,0790-62－7727
宍粟市歴史資料館,0790-74－8855
たたらの里学習館,0790-76－3833
うすくち龍野醤油資料館,0791-63－4573
霞城館・矢野勘治記念館,0791-63－2900
たつの市立龍野歴史文化資料館,0791-63－0907
揖保乃糸資料館 そうめんの里,0791-65－9000
たつの市立室津海駅館,079-324－0595
たつの市立室津民俗館,079-324－0650
たつの市立埋蔵文化財センター,0791-75－5450
太子町立歴史資料館,079-277－5100
上郡町郷土資料館,0791-52－3737
佐用町立平福郷土館,0790-83－2635
上月歴史資料館,0790-86－1616
豊岡市立城崎文芸館,0796-32－2575
北前館 北前船史料室,0796-47－2020
豊岡市立住吉屋歴史資料館,0796-47－1555
植村直己冒険館,0796-44－1515
豊岡市立但馬国府・国分寺館,0796-42－6111
伊藤清永美術館,0796-52－5456
豊岡市立出石史料館,0796-52－6556
豊岡市立出石明治館,0796-52－2353
豊岡市立出石家老屋敷,0796-52－3416
豊岡市立加藤弘之生家,なし
豊岡市立いずし古代学習館,0796-52－7100
出石城下町史料館,0796-52－2600
日本・モンゴル民族博物館,0796-56－1000
豊岡市立コウノトリ文化館コウノピア,0796--23-7750
青谿書院資料館,0796-62－4378
旧和田家住宅,0797-86－2752
宝塚市立歴史民俗資料館
養父市立上垣守国養蚕記念館,079-669－1580
養父市立大庄屋記念館,079-664－0250
養父市立木彫展示館,079-663－8070
養父市立山田風太郎記念館,079-663－5522
妙見山資料宝物館,079-662－2817
あさご芸術の森美術館,079-670－4111
朝来市朝来歴史民俗資料館,079-677－2112（朝来公民館)
ムーセハウス写真館,079-677－1717
朝来市生野書院,079-679－4336
朝来市和田山郷土歴史館,079-675－2928
山東郷土資料館,079-670－7300（山東公民館)
朝来市埋蔵文化財センター「古代あさご館」,079-670－7330
香美町海の文化館,0796-36－4671
香美町立村岡民俗資料館「まほろば」,0796-98－1154
小代古代体験の森,0796-97－3966
浜坂先人記念館以命亭,0796-82－4490
おもしろ昆虫化石館,0796-93－0888
丹波市立柏原歴史民俗資料館,0795-73－0177
丹波市立植野記念美術館,0795-82－5945
丹波市立水分れ資料館,0795-82－5911
丹波市立青垣いきものふれあいの里,0795-88－0888
丹波市立青垣歴史民俗資料館,0795-70－0819(市教委)
丹波市立春日歴史民俗資料館,0795-70－0819(市教委)
丹波市立丹波布伝承館,0795-80－5100
丹波市立市島民俗資料館,0795-70－0819(市教委)
洲本市立淡路文化史料館,0799-24－3331
高田屋嘉兵衛翁記念館,0799-33－0464
南あわじ市滝川記念美術館玉青館,0799-36－2314
南あわじ市淡路人形浄瑠璃資料館,0799-43－5037
淡路市北淡歴史民俗資料館,0799-82－2177
淡路市立中浜稔猫美術館,0799-75－2011
