地区,分類,施設名,組織,利用定員（２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
中央区,幼保連携型認定こども園,幼保連携型みのり認定こども園,私立,100＊,×,×,×,×,×,×,3,3,5,0,4,2,,17
中央区,幼保連携型認定こども園,聖ミカエル幼保連携型認定こども園,私立,100＊,×,×,×,×,×,×,4,1,6,1,0,0,,12
中央区,幼保連携型認定こども園,幼保連携型認定こども園 はたつかこども園,私立,90＊,×,×,×,×,×,×,3,1,0,0,0,1,,5
中央区,幼保連携型認定こども園,大慈ほまれ幼保連携型認定こども園,私立,60＊,×,×,×,×,×,×,4,1,0,1,0,0,,6
中央区,幼保連携型認定こども園,幼保連携型認定こども園 塩原学園幼稚園,私立,40＊,,,,×,×,○,,,,0,0,0,,0
中央区,幼保連携型認定こども園,幼保連携型認定こども園 友愛幼児園,私立,120,×,×,×,×,×,○,4,5,4,3,2,0,,18
中央区,幼保連携型認定こども園,大慈幼保連携型認定こども園 ※分園含む ※１,私立,160＊,×,×,×,×,×,×,9,3,2,0,1,0,,15
中央区,幼保連携型認定こども園,幼保連携型認定こども園ポートピア,私立,210,○,×,○,×,○,○,1,2,0,0,2,0,,5
中央区,幼保連携型認定こども園,幼保連携型認定こども園 成晃ひかり保育園,私立,70＊,×,×,×,×,×,○,0,0,2,0,0,0,,2
中央区,幼稚園型認定こども園,認定こども園 神戸華僑幼稚園,私立,30＊,,,,×,×,×,,,,7,0,0,,7
中央区,保育所,葺合保育所,公立,54,,×,×,×,○,×,,2,3,2,1,0,,8
中央区,保育所,生田保育所,公立,120,○,×,○,×,×,○,0,0,1,0,0,0,,1
中央区,保育所,たちばな保育所,公立,65,○,×,×,×,,,1,0,1,0,,,,2
中央区,保育所,みなと保育所,公立,54,,×,○,×,○,×,,1,0,1,0,0,,2
中央区,保育所,宮本保育所,公立,90,○,×,×,×,○,○,3,0,1,4,0,0,,8
中央区,保育所,二宮保育所 ※,公立,90,×,×,×,×,×,○,0,2,1,4,0,0,,7
中央区,保育所,神若保育所,公立,85,×,×,×,×,×,○,2,3,5,5,1,0,,16
中央区,保育所,古湊保育所,公立,90,,×,×,×,○,○,,2,2,0,0,0,,4
中央区,保育所,めぐみ愛児園,私立,90,×,×,×,×,○,○,1,0,1,0,0,0,,2
中央区,保育所,協和保育園,私立,30,○,×,×,,,,0,0,1,,,,,1
中央区,保育所,真生きらきら保育園,私立,60,×,×,○,○,×,○,1,0,0,0,0,0,,1
中央区,保育所,神女中山手保育園,私立,90,×,×,×,×,×,×,12,3,2,4,1,0,,22
中央区,保育所,北野坂保育園,私立,80,×,×,○,×,×,×,0,0,3,1,2,0,,6
中央区,保育所,神戸元町ちどり保育園,私立,60,×,×,○,×,○,○,2,1,1,1,0,0,,5
中央区,家庭的保育事業,李 赤ちゃんホーム,私立,4,○,,,,,,0,,,,,,,0
中央区,家庭的保育事業,酒井 赤ちゃんホーム,私立,4,○,,,,,,0,,,,,,,0
