分類,施設名,組織,利用定 員（２・３ 号）,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,, 合計,
幼保連携型認定こども園,幼保連携型認定こども園　聖ニコラス天使園,私立,90,1,6,1,0,1,0,,9,
幼保連携型認定こども園,幼保連携型認定こども園　夢　　※分園を含む　※１,私立,160,2,7,1,4,1,0,,15,
幼保連携型認定こども園,幼保連携型認定こども園　石屋川くるみ保育園,私立,70,3,5,0,3,0,0,,11,
幼保連携型認定こども園,幼保連携型認定こども園　本山北町あすのこども園,私立,150*,3,6,2,3,2,0,,16,
幼保連携型認定こども園,認定こども園　魚崎COCORO,私立,120,4,9,0,2,0,1,,16,
幼保連携型認定こども園,幼保連携型認定こども園　きらり保育園,私立,100,4,11,3,1,1,0,,20,
幼保連携型認定こども園,幼保連携型認定こども園　きたおおぎこども園,私立,130,1,5,0,4,2,1,,13,
幼保連携型認定こども園,認定こども園　松蔭おかもと保育園,私立,60,1,4,1,2,2,0,,10,
幼保連携型認定こども園,幼保連携型認定こども園　第２きらり保育園,私立,72,2,1,0,2,0,1,,6,
幼保連携型認定こども園,（仮称）幼保連携型認定こども園　同朋住吉台こども園,私立,50*,2,6,1,1,1,0,,11,
幼保連携型認定こども園,（仮称）幼保連携型認定こども園　甲南すこやか保育園,私立,90,0,5,0,1,1,0,,7,
幼保連携型認定こども園,（仮称）幼保連携型認定こども園　モーツァルトこども園,私立,90*,0,10,1,0,0,0,,11,
幼保連携型認定こども園,（仮称）認定こども園　あおい宙,私立,90*,1,6,0,0,0,0,,7,
幼保連携型認定こども園,（仮称）幼保連携型認定こども園　甲南保育園,私立,60,0,9,4,1,0,0,,14,
幼稚園型認定こども園,認定こども園　夢の星幼稚園,私立,20*,,,,1,0,0,,1,
保育所,魚崎保育所,公立,116,0,4,0,0,0,0,,4,
保育所,東灘本庄保育所,公立,117,1,7,0,0,1,1,,10,
保育所,御影保育所,公立,120,0,14,1,7,0,1,,23,
保育所,本山保育所,公立,142,2,7,5,6,1,1,,22,
保育所,渦森台保育所,公立,63,1,5,0,1,0,0,,7,
保育所,中野保育所,公立,120,0,1,0,0,2,2,,5,
保育所,瀬戸保育所,公立,138,5,6,3,0,1,2,,17,
保育所,田中保育所,公立,100,0,8,1,4,0,0,,13,
保育所,浜御影保育所,公立,90,1,1,0,3,0,0,,5,
保育所,住吉公園保育所,公立,120,5,9,3,2,1,0,,20,
保育所,光の子保育園　　※分園を含む　※２,私立,200,5,23,5,5,1,2,,41,
保育所,ベネッセ本山保育園,私立,60,1,6,1,1,1,0,,10,
保育所,親和保育園,私立,90,5,5,0,3,0,1,,14,
保育所,虹保育園,私立,90,3,3,1,1,0,0,,8,
保育所,岡本ハーベスト保育園,私立,90,4,21,2,3,1,0,,31,
保育所,高羽西岡本保育園,私立,30,,1,0,0,,,,1,
保育所,甲南山手保育園,私立,80,2,12,1,0,0,0,,15,
保育所,おかもと虹保育園,私立,70,1,8,0,0,0,0,,9,
保育所,御影のどか保育園,私立,90,2,4,0,0,1,1,,8,
保育所,住吉むつみ保育園　　※分園含む　※３,私立,99,2,14,3,1,1,0,,21,
保育所,ＡＢＣみかげ保育園,私立,60,2,5,2,7,1,0,,17,
保育所,ブルーノの森保育園,私立,60,0,0,0,0,0,0,,0,
保育所,（仮称）神戸住吉保育園,私立,80,1,2,2,2,0,0,,7,
家庭的保育事業,澤田　赤ちゃんホーム,私立,4,1,,,,,,,1,
家庭的保育事業,中村　赤ちゃんホーム,私立,3,0,,,,,,,0,
小規模保育事業,小規模保育園光の子リジョイス,私立,12,0,1,0,,,,,1,
小規模保育事業,あおい宙　もとやま,私立,9,,1,1,,,,,2,
小規模保育事業,あすの乳児ルーム,私立,19,0,0,0,,,,,0,
小規模保育事業,小規模保育園ハピネスファミリー,私立,12,,1,1,,,,,2,
小規模保育事業,茶屋本庄園,私立,12,0,0,0,,,,,0,
小規模保育事業,キッズクラブ本山南,私立,19,0,0,0,,,,,0,
小規模保育事業,チャイルドハート保育サロン甲南園,私立,14,0,0,0,,,,,0,
小規模保育事業,あおい宙　こうなん,私立,12,0,2,1,,,,,3,
小規模保育事業,RICホープ御影,私立,19,0,1,1,,,,,2,
小規模保育事業,御影小規模保育ルーム,私立,19,0,1,0,,,,,1,
小規模保育事業,（仮称）はぴふぁみえるあ　小規模保育園　Lino,私立,12,0,0,0,,,,,0,
小規模保育事業,（仮称）しんきエンジェルハート保育園,私立,19,0,0,0,,,,,0,
小規模保育事業,（仮称）甲南やまゆり保育園,私立,19,0,0,0,,,,,0,
小規模保育事業,（仮称）京進のほいくえんHOPPA東灘園,私立,12,0,0,0,,,,,0,
