分類,施設名,組織,利用定員 （２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,, 合計
幼保連携型認定こども園,幼保連携型認定こども園　宝地院保育園,私立,130*,×,×,×,×,×,×,1,5,3,0,0,0,,9
幼保連携型認定こども園,幼保連携型認定こども園　大同保育園,私立,150*,×,×,○,×,○,×,0,0,0,0,0,0,,0
幼保連携型認定こども園,幼保連携型認定こども園　モーツァルト兵庫こども園,私立,90*,×,×,×,×,×,○,4,7,7,1,0,0,,19
幼保連携型認定こども園,幼保連携型認定こども園　神港みどり幼稚園,私立,30*,,,,×,○,×,,,,0,0,0,,0
保育所,運南保育所,公立,54,,×,○,○,×,○,,0,0,0,0,0,,0
保育所,松原保育所,公立,120,×,×,○,×,○,○,1,3,0,0,1,0,,5
保育所,羽坂保育所,公立,106,×,×,×,×,×,○,6,2,1,1,0,0,,10
保育所,平野保育所,公立,124,○,×,×,○,×,○,0,1,0,0,1,0,,2
保育所,小河保育所,公立,73,×,×,○,×,×,×,1,5,0,1,0,0,,7
保育所,ゆりかご保育園,私立,90,○,×,○,×,○,○,1,0,0,0,0,0,,1
保育所,本願寺派湊川保育園,私立,60,×,×,○,○,○,○,0,1,0,0,0,0,,1
保育所,神徳館保育所,私立,70,○,×,○,○,○,○,1,0,0,1,0,0,,2
保育所,ルンビニー愛児園,私立,90,○,×,×,×,×,○,0,5,2,1,0,0,,8
保育所,ちびくろ保育園,私立,60,○,×,×,×,×,×,0,1,1,0,0,0,,2
保育所,御崎保育所,私立,100,×,×,×,×,○,○,3,0,0,0,0,0,,3
保育所,兵庫保育園,私立,90,×,×,×,×,×,×,0,1,2,0,0,1,,4
家庭的保育事業,平岡　赤ちゃんホーム,私立,5,○,,,,,,1,,,,,,,1
家庭的保育事業,藪本　赤ちゃんホーム,私立,5,×,,,,,,1,,,,,,,1
家庭的保育事業,久留島家庭託児所,私立,3,,×,×,,,,,0,0,,,,,0
小規模保育事業,モーツァルト兵庫駅ナカ小規模保育園,私立,19,×,×,×,,,,0,0,0,,,,,0
小規模保育事業,小規模保育園　めいせい,私立,12,×,×,○,,,,0,0,0,,,,,0
小規模保育事業,小規模保育　おはな保育園,私立,19,,×,○,,,,,0,0,,,,,0
小規模保育事業,宝地院保育園ふたば,私立,19,×,×,×,,,,0,1,0,,,,,1
