分類,施設名,組織,利用定員 （２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,, 合計,
幼保連携型認定こども園,認定こども園　このみ保育園,私立,70*,○,×,×,×,○,○,0,3,1,3,0,0,,7,
幼保連携型認定こども園,幼保連携型認定こども園　星和台幼稚園,私立,90*,,○,○,○,○,○,,0,0,0,0,0,,0,
幼保連携型認定こども園,幼保連携型認定こども園　五葉幼稚園,私立,100*,,×,○,○,○,○,,0,1,0,0,0,,1,
幼保連携型認定こども園,幼保連携型認定こども園　みどりこども園,私立,110*,○,×,×,×,×,○,1,5,1,2,1,1,,11,
幼保連携型認定こども園,幼保連携型認定こども園　鈴蘭台北町こども園,私立,90,×,×,×,×,×,×,1,2,0,1,0,0,,4,
幼稚園型認定こども園,認定こども園　鈴蘭台幼稚園,私立,70*,,,×,×,×,×,,,0,0,0,0,,0,
幼稚園型認定こども園,認定こども園　ひよどり台幼稚園,私立,10*,,,,○,○,×,,,,0,0,0,,0,
幼稚園型認定こども園,認定こども園　正英幼稚園,私立,50*,,,×,×,×,×,,,2,0,8,5,,15,
保育所,桜の宮保育所,公立,136,×,×,○,×,○,○,1,1,0,1,0,0,,3,
保育所,君影保育所,公立,69,○,○,○,○,○,○,0,1,0,0,0,0,,1,
保育所,鈴蘭台西町保育所,公立,54,,○,×,○,○,×,,0,1,0,0,0,,1,
保育所,ひよどり台保育所,公立,110,○,○,×,○,○,○,0,0,2,0,0,0,,2,
保育所,鈴蘭台南町保育所,公立,120,○,×,○,×,○,○,3,1,1,0,0,1,,6,
保育所,鈴蘭台保育園,私立,50,,×,○,○,○,○,,0,0,0,0,0,,0,
保育所,太陽の子保育園,私立,120,×,×,×,×,○,○,0,0,0,0,0,0,,0,
保育所,頌栄保育園,私立,90,○,×,○,○,○,○,0,0,0,0,0,0,,0,
保育所,谷上保育園　　※分園を含む,私立,110,×,×,×,×,×,×,4,3,2,3,2,0,,14,
保育所,すずらんキッズ保育園,私立,30,×,×,○,,,,2,3,0,,,,,5,
保育所,西鈴蘭台頌栄保育園,私立,120,○,×,○,×,○,○,0,3,1,0,0,0,,4,
保育所,山のまち保育園,私立,100,×,×,○,×,×,×,4,2,1,3,0,0,,10,
家庭的保育事業,村上　赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0,
家庭的保育事業,赤ちゃんホームもものみ,私立,5,○,,,,,,0,,,,,,,0,
小規模保育事業,小規模保育園小倉台ひまわり,私立,19,○,×,×,,,,0,0,0,,,,,0,
小規模保育事業,小規模保育園　北鈴どんぐり園,私立,12,×,×,×,,,,1,1,0,,,,,2,
小規模保育事業,アートチャイルドケア神戸谷上,私立,19,○,×,×,,,,2,0,0,,,,,2,
事業所内保育事業,さくら保育園,私立,20（内地域枠5）,×,×,×,,,,0,0,0,,,,,0,
