分類,施設名,組織,利用定員 （２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,, 合計6761246471241413510111500145332781392133123500010050000
幼保連携型認定こども園,幼保連携型認定こども園　岩岡こども園　　※分園を含む,む※１私立,140*,○,×,×,×,×,×,1,1,1,1,2,0,,
幼保連携型認定こども園,幼保連携型認定こども園　おっこう山,私立,90*,×,×,×,×,×,×,4,0,0,1,1,1,,
幼保連携型認定こども園,幼保連携型認定こども園　あさひ保育園,私立,240*,○,○,○,○,○,○,4,0,1,1,0,0,,
幼保連携型認定こども園,幼保連携型認定こども園　YMCA保育園　　※分園を含む,む※２ 私立,150*,×,×,×,×,×,×,2,7,2,1,0,0,,
幼保連携型認定こども園,幼保連携型認定こども園　なごみ保育園,私立,90,○,×,×,×,×,×,2,2,0,0,0,0,,
幼保連携型認定こども園,幼保連携型認定こども園　西神戸YMCA保育園,私立,70,○,×,×,×,×,×,0,4,2,0,0,0,,
幼保連携型認定こども園,幼保連携型認定こども園　神戸潤和保育園,私立,60*,×,×,×,×,×,×,0,1,1,1,1,0,,
幼保連携型認定こども園,幼保連携型認定こども園　神戸学園都市YMCAこども園,私立,80,×,×,×,×,×,×,1,2,0,0,3,1,,
幼保連携型認定こども園,認定こども園　ななほし保育園,私立,60*,×,×,×,×,×,×,2,5,2,2,1,0,,
幼保連携型認定こども園,幼保連携型認定こども園　あい保育園,私立,150,○,×,×,×,×,×,1,1,1,0,0,1,,
幼保連携型認定こども園,幼保連携型認定こども園　あゆみ幼児園,私立,120,×,×,×,×,×,×,2,6,2,0,3,1,,
幼保連携型認定こども園,幼保連携型認定こども園　同朋にこにここども園　※分園含む　※２,私立,188*,×,×,×,×,×,×,4,1,5,0,2,1,,
幼保連携型認定こども園,幼保連携型認定こども園　わらべ保育園,私立,80,×,×,×,×,×,×,4,0,0,1,0,0,,
幼保連携型認定こども園,幼保連携型認定こども園　有瀬幼稚園,私立,104*,○,○,○,×,×,×,0,1,0,0,0,0,,
幼稚園型認定こども園,認定こども園　さくらんぼ幼稚園,私立,55*,○,×,○,○,○,×,0,0,0,0,0,0,,
幼稚園型認定こども園,認定こども園　いぶき幼稚園,私立,60*,,×,×,×,×,×,,3,3,2,3,0,,
幼稚園型認定こども園,認定こども園　桑ノ木幼稚園,私立,60*,×,×,×,×,×,×,0,2,1,7,1,4,,
保育所,玉津保育所,公立,120,○,○,○,○,○,○,0,0,0,0,0,0,,
保育所,押部谷保育所,公立,126,○,○,○,○,○,○,0,0,0,0,0,0,,
保育所,王塚台保育所,公立,120,○,×,○,○,○,○,0,1,0,0,0,0,,
保育所,日輪寺保育園,私立,120,○,○,×,○,×,×,2,1,0,1,0,0,,
保育所,弁天保育園,私立,90,○,×,×,×,×,×,2,0,0,1,2,0,,
保育所,神出保育園,私立,90,×,×,○,○,×,×,1,1,1,0,0,0,,
保育所,平野保育園,私立,150,×,×,×,×,×,×,2,1,0,0,0,0,,
保育所,出合保育園,私立,160,×,○,○,×,○,×,0,1,0,1,0,0,,
保育所,持子保育園,私立,90,×,×,×,×,×,×,3,0,0,3,1,0,,
保育所,竹の台保育園,私立,150,○,×,×,×,×,×,0,3,2,2,0,1,,
保育所,美賀多保育園,私立,210,○,×,×,×,×,×,0,4,5,0,4,0,,
保育所,まゆか保育園,私立,150,×,×,×,×,×,×,2,2,3,2,0,0,,
保育所,つぐみ保育園,私立,181,×,×,×,×,×,×,6,8,4,3,0,0,,
保育所,ひまわり保育園,私立,110,×,×,×,×,×,×,0,3,0,0,0,0,,
保育所,なかよし保育園　　※分園を含む,私立,120,×,×,×,×,×,×,1,2,0,0,0,0,,
保育所,あおぞら保育園,私立,130,○,○,○,×,×,×,0,0,1,0,0,0,,
保育所,枦谷つぐみ保育園,私立,90,×,×,×,×,×,×,0,0,0,1,1,0,,
保育所,枝吉保育所,私立,120,○,○,×,×,×,×,1,1,0,1,0,0,,
保育所,井吹北つぐみ保育園　　※分園を含む,私立,80,×,×,×,×,×,×,0,5,0,0,0,0,,
家庭的保育事業,山本　赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,
家庭的保育事業,津吉　赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,
小規模保育事業,こばとキンダ―ルーム,私立,19,○,○,○,,,,0,0,0,,,,,
小規模保育事業,西神中央エンゼルホーム,私立,19,×,×,×,,,,0,0,1,,,,,
小規模保育事業,YMCAちとせ保育ルーム,私立,12,,×,×,,,,,0,0,,,,,
小規模保育事業,学園都市駅前小規模保育園,私立,12,×,×,×,,,,0,0,0,,,,,
小規模保育事業,小規模保育園ふわり池上,私立,12,○,×,×,,,,1,3,1,,,,,
小規模保育事業,小規模保育つぐみ　House,私立,19,×,×,×,,,,0,0,0,,,,,
小規模保育事業,キッズパートナー狩場台,私立,19,○,○,○,,,,0,0,0,,,,,
事業所内保育事業,ひかりのくれよん,私立,19（内地域枠5）,○,○,○,,,,0,0,0,,,,,
事業所内保育事業,事業所内保育事業　みどり保育園,私立,20（内地域枠5）,○,○,○,,,,0,0,0,,,,,
