分類,施設名,組織,利用定員 （２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,, 合計,
幼保連携型認定こども園,幼保連携型認定こども園　若木保育園,私立,80*,×,×,○,○,○,○,3,0,0,0,0,0,,3,
幼保連携型認定こども園,幼保連携型認定こども園　大手幼稚園,私立,40*,,,×,○,×,×,,,0,0,2,0,,2,
幼保連携型認定こども園,幼保連携型認定こども園　西須磨幼稚園,私立,60*,,×,×,×,○,×,,1,2,0,1,0,,4,
幼保連携型認定こども園,幼保連携型認定こども園　神戸YMCAちとせ幼稚園,私立,20*,,,,×,×,×,,,,0,1,2,,3,
幼稚園型認定こども園,認定こども園　禅昌寺幼稚園,私立,20*,,,,○,○,○,,,,0,0,0,,0,
保育所,須磨保育所,公立,232,×,×,×,○,○,○,2,3,3,0,0,0,,8,
保育所,たかとり保育所,公立,54,×,×,×,×,○,×,0,0,0,0,0,0,,0,
保育所,高倉台保育所,公立,90,○,×,×,×,○,○,0,4,0,0,0,0,,4,
保育所,東須磨愛児園　　※分園含む,私立,70,×,×,×,×,○,×,0,0,0,0,0,0,,0,
保育所,太田共同保育園,私立,40,○,×,×,×,,,0,1,0,0,,,,1,
保育所,千歳保育園,私立,120,○,×,×,×,×,×,0,0,2,2,0,0,,4,
保育所,村雨保育園　※分園含む　※２,私立,132,○,×,×,×,×,×,0,5,1,0,0,0,,6,
保育所,すまいる保育園,私立,90,×,×,×,×,○,×,1,0,1,0,0,0,,2,
保育所,いたやど保育園,私立,70,×,×,×,×,×,×,1,1,0,0,0,0,,2,
保育所,若宮保育園,私立,50,○,×,×,○,○,○,0,0,0,0,0,0,,0,
保育所,たかとりちどり保育園,私立,80,×,×,○,○,○,○,0,1,0,0,0,0,,1,
家庭的保育事業,大池　赤ちゃんホーム,私立,5,×,×,×,,,,1,0,0,,,,,1,
家庭的保育事業,林　赤ちゃんホーム,私立,4,×,×,,,,,0,0,0,,,,,0,
家庭的保育事業,小原　赤ちゃんホーム,私立,4,×,,,,,,0,,,,,,,0,
事業所内保育事業,ヤクルトキッズスクール須磨,私立,19（内地域枠5）,×,×,×,,,,0,0,0,,,,,0,
