市内　公立幼稚園一覧表,,,,,,,,,,,
区,施　設　名,募集クラス数,,施設所在地,電話番号,受入年齢,,,預かり保育 の実施,朝の 預かり保育 開始時間,夕方の 預かり保育 終了時間
,,３歳,４歳,,,満 ３ ～,3 ～,4 ～,,,
東灘,東灘のぞみ幼稚園,,2,深江北町3-11-3,４１１－０６６７,,,〇,週3～4回,－,～16:00
,魚崎幼稚園,,2,魚崎中町4-10-39,４１１－９６４７,,,〇,週3～4回,－,～16:00 (弁当なし日～14:00）
,遊喜幼稚園＊,,1,住吉宮町1-8-8,８５１－８５１２,,,〇,週５回,－,～16:00
,住吉幼稚園＊,,2,住吉宮町7-2-6,８５１－６６５０,,,〇,週4回,－,～16:00
,御影幼稚園,,2,御影石町3-13-1,８５１－２０３０,,,〇,週2～3回,－,～16:00 (弁当なし日～14:00）
灘,灘すずかけ幼稚園,,1,大石東町6-2-2,８６１－４５５０,,,〇,週2～3回,－,～16:00
,六甲山幼稚園,,混合,六甲山町北六甲4512-42,８９１－１０４３,,,〇,－,－,－
中央,あづま幼稚園,,2,吾妻通4-1-6,２３１－００１５,,,〇,週2～3回,－,～16:00
,神戸幼稚園,,2,北長狭通4-9-17,３３１－４４６９,,,〇,週4回,8:20～,～16:30
,清風幼稚園＊,,2,中山手通7-25-24,３４１－１３１７,,,〇,週５回,－,～16:00
,港島幼稚園,1,2,港島中町3-2-10,３０２－３３００,,〇,〇,週2～3回,－,～16:00
兵庫,兵庫くすのき幼稚園,,2,永沢町3-7-12,５７５－４７７４,,,〇,週2～3回,－,～16:30
北,有野幼稚園,,2,有野中町1-7-8,９８１－５１０９,,,〇,週4回,－,～16:00
,からと幼稚園,,1,唐櫃台2-38-10,９８１－５３１７,,,〇,週1回,－,～16:00
,やまびこ幼稚園,,1,花山東町3-2,５８３－１０８０,,,〇,週2～3回,－,～16:00
,山田幼稚園,,1,山田町中字長尾サ18,５８１－０３２１,,,〇,－,－,ー
,すずかぜ幼稚園＊,,1,鈴蘭台北町3-26-1,５９２－４１０４,,,〇,週2～3回,－,～16:00
,道場幼稚園,,1,道場町塩田1460,９８５－２６７４,,,〇,週２回,－,～16:00 (弁当なし日～14:00）
,八多幼稚園,,1,八多町附物383-1,９８２－０５４７,,,〇,週４回,－,～16:00
,大沢幼稚園,,1,大沢町中大沢976,９５４－０３３２,,,〇,－,－,－
,長尾幼稚園,1,2,長尾町宅原130,９８６－４１２３,,〇,〇,週2～3回,－,～16:00
,淡河好徳幼稚園,,1,淡河町萩原1087,９５９－０１１２,,,〇,週1～3回,－,～16:00
長田,西野幼稚園,,1,重池町1-10-8,６９１－４４８３,,,〇,週５回,－,～16:00
須磨,名谷きぼうの丘幼稚園,,2,東落合2-18-1,７９３－１８６６,,,〇,週５回,－,～16:00 (弁当なし日～14:00）
,名谷こすもす幼稚園＊,,1,西落合7-1-2,７９２－５５７７,,,〇,週1回,－,～16:00
,名谷あおぞら幼稚園＊,,４歳児 募集無し,菅の台4-3-1,７９１－０１３３,,,〇,週3～４回,－,～16:00
垂水,青山台こばと幼稚園,,2,青山台4-8-30,７５２－０７００,,,〇,週2～3回,－,～16:00
,多聞ひまわり幼稚園＊,,1,学が丘4-6-1,７８３－５８６６,,,〇,週1回,－,～16:00
,たるみ幼稚園,,1,高丸6-3-1,７０４－５１１４,,,〇,週2回,－,～16:00
,奥の池幼稚園＊,,1,狩口台3-1-5,７８１－３５０１,,,〇,週1回,－,～16:00
,小束山幼稚園,,1,小束山7-868-735,７８４－２６６０,,,〇,週1～２回,－,～16:00
西,太山寺幼稚園,,1,伊川谷町前開860,９７４－００２１,,,〇,週2回,－,～16:00
,いかわ幼稚園,,1,伊川谷町別府1342,９７４－００２２,,,〇,週３～４回,－,～16:00 (弁当なし日～15:00）
,櫨谷幼稚園,,1,櫨谷町池谷字山の谷203-2,９９１－０３３１,,,〇,週1回,－,～16:00
,木津幼稚園＊,,４歳児 募集無し,押部谷町木津71-5,９９４－３８１１,,,〇,週2～3回,－,～16:00
,おしんべ幼稚園,,2,押部谷町西盛174,９９４－０２７９,,,〇,週2～3回,－,～16:00
,たまつ幼稚園,,2,玉津町出合字古瀬183-5,９２８－４７２４,,,〇,週2～3回,－,～16:00
,玉津第二幼稚園,,2,玉津町新方字南方452-3,９１２－５７７１,,,〇,週4回,－,～16:00
,平野幼稚園,,1,平野町宮前字広畑275-1,９６１－２０１１,,,〇,週1回,－,～16:00
,神出幼稚園,,1,神出町田井425-2,９６５－００８８,,,〇,月２～３回,－,～16:00
,岩岡幼稚園,1,2,岩岡町古郷294,９６７－１５３１,,〇,〇,週５回,－,～16:00
備考 ※公立幼稚園は園バス・給食はありません。 ※５歳児は原則、定員はありません。 ※＊印記載の園は再編対象園になっています。くわしくは「子ども・子育て支援新制度実施後の神戸市立幼稚園のあり方」をご覧ください。 「子ども・子育て支援新制度実施後の神戸市立幼稚園のあり方」（http://www.city.kobe.lg.jp/child/college/highschool/kaihatsu/itiritsuyoutienarikata.html） ※名谷あおぞら幼稚園（須磨区）、木津幼稚園（西区）は、平成29年度園児募集は5歳児のみの募集となります。 ＜預かり保育について＞ ※預かり保育は平成27年度の実績です。 ※実施回数は行事等の都合により変更になる場合があります。,,,,,,,,,,,
