所在区,分類,施設名,組織,認可定員(全体),所在地,電話番号,受入開始年齢 満3歳～,受入開始年齢 3歳～,預かり保育 開始時間（朝）,預かり保育 終了時間（夕）,園バス,給食,未就園児教室 受入開始年齢 １歳～,未就園児教室 受入開始年齢 ２歳～,園庭開放
東灘区,幼稚園（私学助成制度）,甲南幼稚園,(学),100,住吉本町１－１２－１,841-1201,,○,-,１７：３０,-,-,-,-,○
東灘区,幼稚園（私学助成制度）,群華幼稚園,（学）,110,御影郡家１－２３－１９,851-7274,,○,-,１６：３０,-,-,-,○,-
東灘区,幼稚園（私学助成制度）,本山幼稚園,（個人）,100,本山北町６－４－１,411-6314,,○,７：３０,17：００,-,週２日,-,満２歳,-
東灘区,幼稚園（新制度）,光の園幼稚園,(学),160,岡本１－１４－１２,452-4848,,○,８：００,１７：３０,-,週２日,-,満２歳,○
東灘区,幼稚園（私学助成制度）,岡本信愛幼稚園,(学),200,岡本２－１１－２０,411-1441,,○,７：００,１９：００,-,週４日,-,-,-
東灘区,幼稚園（新制度）,甲南同胞幼稚園,（宗）,135,田中町３－９－１４,411-8920,,○,-,１６：３０,-,-,-,○,○
東灘区,幼稚園（私学助成制度）,茅渟の浦幼稚園,(学),240,鴨子ヶ原３－１７－２７,851-4142,,○,-,１７：００,○,週３日,-,○,○
東灘区,幼稚園（私学助成制度）,住吉学園幼稚園,(学),180,住吉本町３－３－４,851-0246,,○,-,-,-,-,-,-,○
東灘区,幼稚園（私学助成制度）,青い鳥学園第１幼稚園,(学),320,深江北町２－９－２２,411-2284,,○,７：００,１９：００,○,週３日,-,○,○
東灘区,幼稚園（私学助成制度）,青い鳥学園第2幼稚園,(学),360,本山南町４－３－１,411-2820,,○,７：００,１９：００,○,週３日,-,○,○
東灘区,幼稚園（私学助成制度）,渦が森幼稚園,(学),240,渦森台１－８－１,841-7189,,○,-,１７：００,○,週３日,-,○,○
東灘区,幼稚園（私学助成制度）,星の園幼稚園,(学),120,住吉宮町２－１８－２３,811-5559,,○,８：３０,１６：３０,-,週１日,-,○,○
東灘区,幼稚園（私学助成制度）,頌栄幼稚園,(学),100,御影山手１－１８－１,842-2890,,○,-,１８：００,-,-,-,満２歳,○
東灘区,幼稚園（私学助成制度）,六甲アイランド幼稚園,(学),530,向洋町中６－１,857-1566,,○,７：００,１９：００,○,週３日,-,○,○
東灘区,幼稚園型認定こども園,認定こども園　夢の星幼稚園,(学),385,向洋町中３－１－３,857-3166,,○,７：３０,１８：３０,○,週５日,-,○,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　聖二コラス天使園,（福）,99,北青木４丁目１－３７,412-6080,○,,８：００,１９：００,-,週５日,-,-,-
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　夢,（福）,105,住吉宮町１－２－２７,858-9614,,○,８：００,１８：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　夢遊喜分園※,（福）,70,住吉宮町１－８－８,858-9610,,○,８：００,１８：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　本山北町あすのこども園,（福）,160,本山北町３－２－２８,441-1905,○,,-,１６：００,-,週５日,-,-,○
東灘区,幼保連携型認定こども園,認定こども園　魚崎COCORO　,（福）,135,魚崎西町2丁目４－１,858-5561,○,,７：００,１９：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,認定こども園　松蔭おかもと保育園,（福）,66,岡本７－３－１４,262-1150,,○,７：００,１９：００,-,週５日,-,-,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　同朋住吉台こども園,（福）,65,住吉台２５－７,846-6011,○,,７：００,１８：００,-,週５日,-,-,〇
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　甲南すこやかこども園,（福）,96,魚崎北町２－１０－１０,453-4152,,○,８：００,１９：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,幼保連携型認定こども園　モーツァルトこども園,（福）,105,本山南町８－３－３,431‐3111,,○,７：００,１８：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,認定こども園　あおい宙,（福）,105,本山南町７－５－２１,441-2444,○,,７：００,１９：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,（仮称）光の子認定こども園,（福）,210,向洋町中２－３,857-1577,,○,７：００,２０：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　虹こども園　,（福）,98,深江本町４－１－１２,413-4124,○,,７：００,１９：００,-,週６日,-,-,○
東灘区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　おかもと虹こども園,（福）,85,岡本３－２－６,412-2262,○,,７：００,１９：００,-,週６日,-,-,○
灘区,幼稚園（新制度）,ランバス記念幼稚園,(学),120,岸地通５－２－１７,861-4108,○,,７：００,１９：００,-,週２日,-,満３歳,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　微笑幼稚園,(学),200,篠原北町３－６ー７,871-2165,,○,７：３０,１９：００,○,週５日,-,-,○
灘区,幼稚園（私学助成制度）,六甲幼稚園,(学),270,宮山町３－３－５,861-3846,,○,８：００,１８：００,-,週２日,-,-,○
灘区,幼稚園（私学助成制度）,若草幼稚園,(学),400,土山町１－５,851-9490,,○,８：００,１９：００,-,週４日,-,○,○
灘区,幼稚園（新制度）,かおる幼稚園,（個人）,95,薬師通４－２－８,861-3759,○,,-,１８：００,-,週３日,-,満3歳,-
灘区,幼稚園（私学助成制度）,高羽幼稚園,(学),220,八幡町１－８－１９,851-0065,○,,７：００,１９：００,○,週２日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　八幡幼稚園・八幡ピジョン保育園,(学),230,深田町１－１－３,851-9377,,○,７：００,１８：００,-,週５日,-,-,○
灘区,幼稚園（私学助成制度）,ホザナ幼稚園,(学),200,六甲町５－７－８,861-4330,,○,８：００,１８：００,○,週５日,-,○,-
灘区,幼稚園（私学助成制度）,西灘幼稚園,(学),160,岩屋北町３－２－１４,881-2601,,○,-,１６：３０,○,週１日,-,-,○
灘区,幼稚園（私学助成制度）,鶴甲幼稚園,(学),200,鶴甲２－２－１２６,821-0130,,○,７：００,２０：００,○,週５日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　はっとこども園,（福）,105,摩耶海岸通２－３－１４,805-3810,,○,７：００,１８：００,-,週６日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　なかはらこども園,(福),151,中原通６－４－５,871-2330,,○,７：００,１８：００,-,週６日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　光愛児園,(福),120,篠原南町５－３－１５,871-7010,,○,７：００,１８：３０,-,週６日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　青谷愛児園,(福),96,青谷町２－１－９,871-9553,,○,７：００,１８：００,-,週６日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　おおいしこども園,(福),85,大石北町３－１２,881-9470,,○,８：００,１８：００,-,週５日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　オリンピア都こども園,(福),105,六甲町５－２－１２,805-5165,,○,８：００,１８：００,-,週６日,-,-,○
灘区,幼保連携型認定こども園,（仮称）ゆりか認定こども園,(福),105,神ノ木通２－２－９,871-0132,,○,７：００,１９：００,-,週６日,-,-,○
灘区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　六甲ゆりかごこども園,(福),75,友田町２－５－１,858-7400,,○,７：００,１９：００,-,週６日,-,-,○
中央区,幼稚園（私学助成制度）,熊内幼稚園,(学),120,熊内町９－２－１８,222-3748,○,,８：００,２０：００,○,-,満１歳,-,○
中央区,幼稚園（新制度）,明照幼稚園,（個人）,80,熊内町３－２－３,231-0020,○,,８：００,１７：００,-,週２日,-,満２歳,○
中央区,幼保連携型認定こども園,幼保連携型認定こども園　塩原学園幼稚園,(学),120,上筒井通４－３－３０,241-8010,,○,７：００,１８：００,-,週２日,-,-,○
中央区,幼稚園（新制度）,小さき花の園幼稚園,（宗）,80,籠池通５－１－１３,241-2910,○,,８：００,１７：３０,-,週１日,-,満２歳,○
中央区,幼稚園（私学助成制度）,山手幼稚園,(学),130,山本道３－１６－１２,221-3524,,○,８：００,１７：００,○,週３日,-,-,○
中央区,幼稚園（新制度）,神戸教会いずみ幼稚園,（宗）,80,花隈町９－１８,341-4333,,○,-,１６：００,-,週２日,-,-,○
中央区,幼稚園（新制度）,光の丘幼稚園,(学),65,山本通１－７－２７,221-2114,,○,-,１７：００,-,-,-,-,○
中央区,幼稚園型認定こども園,認定こども園　神戸華僑幼稚園,(学),160,中山手通６－４－２０,341-8315,,○,８：００,１８：００,○,週６日,-,○,○
中央区,幼保連携型認定こども園,幼保連携型みのり認定こども園,(福),115,脇浜町２－５－１３,221-4154,,○,７：００,１８：００,-,週６日,-,-,○
中央区,幼保連携型認定こども園,聖ミカエル幼保連携型認定こども園,（福）,109,中山手通６－５－１,341-8167,,○,８：００,１８：００,-,週６日,-,-,○
中央区,幼保連携型認定こども園,幼保連携型認定こども園　はたつかこども園,(福),99,旗塚通４－４－２０,221-5100,,○,７：００,１８：００,-,週５日,-,-,○
中央区,幼保連携型認定こども園,大慈ほまれ幼保連携型認定こども園　,（福）,75,古湊通１－１－１６,351-0667,,○,７：００,２０：００,-,週６日,-,-,○
中央区,幼保連携型認定こども園 幼保連携型認定こども園,（仮称）大慈幼保連携型認定こども園,(福),145,東川崎町６－２－６,671-0684,,○,７：００,２０：００,-,週６日,-,-,○
中央区,,（仮称）幼保連携型認定こども園　成晃ひかり保育園,(福),79,港島中町４－６,303-3315,,○,７：００,１９：００,-,週６日,-,-,○
兵庫区,幼稚園（私学助成制度）,神戸夢野幼稚園,(学),120,東山町４－２０,511-8837,,○,-,１８：００,-,週４日,-,○,○
兵庫区,幼稚園（新制度）,石井幼稚園,（宗）,35,都由乃町１－１－１１,521-4485,,○,-,１６：００,-,週２日,-,-,○
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園　神港みどり幼稚園,(学),105,会下山町２－５－３２,521-1834,○,,-,１７：００,○,週３日,-,-,○
兵庫区,幼稚園（私学助成制度）,聖ミカエル兵庫幼稚園,(学),210,吉田町１－１－１,681-1304,○,,８：００,１７：００,○,週５日,-,-,-
兵庫区,幼稚園型認定こども園,（仮称）認定こども園　みなと幼稚園,(学),360,荒田町３－２０－４,511-1349,,○,７：００,１９：００,○,週４日,-,○,-
兵庫区,幼稚園（私学助成制度）,たちえ幼稚園,(学),200,菊水町１０－３９－２５,531-2000,,○,-,１８：００,○,週５日,-,○,○
