,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,事業 施設一覧（２号・３号認定子ども,,,,も用,用,用,用） 平成28年4月1日時点,,,,,,,,
平成28年4月1日時点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所在区,,,,分類,施設名,,組織,,,利用定員 （2・3号）,,所在地,,,電話番号,受入開始月齢,卒園年齢,,,,,保育標準時間（11時間）,,保育短時間（８時間）,,延長保育,,一時預かり （一時保育）,園庭開放
,,,,,,,,,,,,,,,,,,,,,,開始 時間,終了 時間,開始 時間,終了 時間,開始時間 （朝）,終了時間 （夕）,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
灘,,,,幼保連携型認定こども園,幼保連携型認定こども園 はっとこども園,,（福）,,,90＊,,摩耶海岸通２－３－１４,,,805-3810,生後６か月,５歳児クラス,,,,,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,,幼保連携型認定こども園 なかはらこども園,,（福）,,,140＊,,中原通６－４－５,,,871-2330,生後６か月,５歳児クラス,,,,,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,,認定こども園 六甲道COCORO,,（福）,,,60,,琵琶町２－１－２７,,,882-1541,生後６か月,５歳児クラス,,,,,7:00,18:00,9:00,17:00,7:00,19:00,○,
,,,,,幼保連携型認定こども園 八幡幼稚園・八幡ピジョン保育園,,(学),,,70＊,,深田町１－１－３,,,851-9377,生後６か月,５歳児クラス,,,,,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,認定こども園 高羽COCORO,,（福）,,,90,,高徳町５－２－３,,,855-4137,生後６か月,５歳児クラス,,,,,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,,幼保連携型認定こども園 神戸さくら保育園,,（福）,,,70,,浜田町２－２－１５,,,858-8101,生後５７日,５歳児クラス,,,,,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,幼保連携型認定こども園 微笑幼稚園,,（学）,,,10＊,,篠原北町３－６ー７,,,871-2165,３歳児クラス,５歳児クラス,,,,,7:30,18:30,8:00,16:00,7:00,19:00,,○
,,,,,幼保連携型認定こども園 光愛児園,,（福）,,,105＊,,篠原南町５－３－１５,,,871-7010,生後６か月,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,,幼保連携型認定こども園 光愛児園sun分園 ※１,,（福）,,,25,,天城通１－２－１１,,,802-1118,,,,,,,7:30,18:30,8:30,16:30,7:00,19:00,,
,,,,,幼保連携型認定こども園 青谷愛児園,,（福）,,,90＊,,青谷町２－１－９,,,871-9553,生後６か月,５歳児クラス,,,,,7:00,18:00,8:00,16:00,7:00,19:00,○,○
,,,,,幼保連携型認定こども園 おおいしこども園,,（福）,,,70＊,,大石北町３－１２,,,881-9470,生後６か月,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,,幼保連携型認定こども園 オリンピア都こども園,,（福）,,,90＊,,六甲町５－２－１２,,,805-5165,生後６か月,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,,幼保連携型 めばえの園認定こども園,,（福）,,,90,,灘南通４－４－２,,,806-3333,生後６か月,５歳児クラス,,,,,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,,幼保連携型 めばえの園認定こども園すみれ分園 ※２,,（福）,,,12,,灘北通８－６－１６,,,802-2225,,,,,,,7:00,18:00,9:00,17:00,7:00,19:00,,
,,,,保育所,灘保育所,,（公立）,,,110,,新在家南町５－１３－１５,,,861-3844,生後６か月,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,18:30,,○
,,,,,西灘保育所,,（公立）,,,120,,岩屋北町２－５－２９,,,861-2769,生後６か月,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,,石屋川保育所,,（公立）,,,100,,大和町４－４－１８,,,854-1707,生後６か月,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,19:00,,○
,,,,,倉石保育所,,（公立）,,,90,,倉石通４－１－１０,,,801-2250,生後６か月,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,18:30,○,○
,,,,,やはた桜保育所,,（公立）,,,144,,八幡町２－１－１,,,821-5271,生後６か月,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,,やはた桜保育所鶴甲分室,,（公立）,,,30,,鶴甲１－３－１３,,,821-1900,１歳児クラス,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,18:30,,○
,,,,,誠佛保育園,,（宗）,,,60,,徳井町５－１－２４,,,851-1944,満１歳,５歳児クラス,,,,,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,,同朋保育園,,（福）,,,70,,篠原北町４－８－１,,,861-1624,生後６か月,５歳児クラス,,,,,7:00,18:00,8:00,16:00,7:00,19:00,○,○
,,,,,ゆりか保育園,,（福）,,,90,,神ノ木通２－２－９,,,871-0132,生後６か月,５歳児クラス,,,,,7:00,18:00,9:00,17:00,7:00,19:00,○,○
区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,区,,,,六甲ゆりかご保育園,,（福）,,,60,,友田町２－５－１,,,858-7400,生後６か月,５歳児クラス,,,,,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,花音つばさ保育園,,（福）,,,80,,城内通１－６－３２,,,801-0283,生後６か月,５歳児クラス,,,,,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,,琵琶COCORO保育園,,（福）,,,60,,琵琶町２－４－４,,,881-7113,生後６か月,５歳児クラス,,,,,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,家庭的保育事業,赤ちゃんホーム なだのみ,,(株),,,5,,岩屋北町１－４－１６ ケイテムビル１Ｆ,,,※,生後７週目,０歳児クラス,,,,,-,-,8:00,16:00,8:00,18:00,,
,,,,,赤ちゃんホーム つぼみ,,(個人),,,3,,篠原中町３－４－６ ダイヤデート１Ｆ,,,※,生後７週目,０歳児クラス,,,,,-,-,8:00,16:00,8:00,18:00,,
,,,,小規模保育事業,たんぽぽ,,（福）,,,12,,六甲町１－２－５ 六甲ハーモニーガーデン１F,,,843-5919,満１歳,２歳児クラス,,,,,7:30,18:30,8:30,16:30,7:30,18:30,,
