保,,,,,,,,保育所・認定こども園・地域型保,,,,,,保育事,事業 施設一覧（２号・３号認定子ども用） 平成29年2月1日時点,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
所在区,,,,,,分類,施設名,,組織,,利用定員 （2・3号）,,所在地,,,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間）,,保育短時間（８時間）,,延長保育,,一時預かり （一時保育）,園庭開放
,,,,,,,,,,,,,,,,,,,開始 時間,終了 時間,開始 時間,終了 時間,開始時間 （朝）,終了時間 （夕）,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
北,,,,,,幼保連携型認定こども園,認定こども園 このみ保育園,,（福）,,70*,,山田町下谷上字箕谷２１－１,,,583-2203,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
,,,,,,,幼保連携型認定こども園 星和台幼稚園,,（学）,,90*,,星和台２－１６－１３,,,593-9100,１歳児クラス,５歳児クラス,8:00,19:00,9:00,17:00,7:00,19:00,,○
,,,,,,,幼保連携型認定こども園 五葉幼稚園,,（学）,,100*,,北五葉３－７－２,,,591-0718,１歳児クラス,５歳児クラス,8:00,19:00,9:00,17:00,7:00,19:00,,○
,,,,,,,幼保連携型認定こども園 みどりこども園,,（福）,,110*,,日の峰１－２０－１,,,581-7077,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
,,,,,,,幼保連携型認定こども園 鈴蘭台北町こども園,,（福）,,90*,,鈴蘭台北町６－１－１８,,,592-5911,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,,,,（仮称）幼保連携型認定こども園 頌栄保育園,,（福）,,90*,,鳴子２－１１－２,,,593-3893,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,,,,（仮称）幼保連携型認定こども園 山のまち,,（福）,,100*,,緑町２－７－１９,,,581-1121,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,,,幼稚園型認定こども園,認定こども園 鈴蘭台幼稚園,,（学）,,70*,,鈴蘭台南町１－２－１５,,,591-0617,１歳児クラス,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,,○
