,,,,,,,,,,,,事業 施設一覧（２号・３号認定子ども用） 平成29年10月６日時点,,,,,,,,,,,
保,,,,,保育所・認定こども園,,,,園・地域型保,,保育事,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,平成29年10月６日時点,,,,,,,,,,,,,,,,
所在区,,,分類,施設名,,組織,,利用定員 （2・3号）,,所在地,,,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間）,,保育短時間（８時間）,,延長保育,,一時預かり （一時保育）,園庭開放
,,,,,,,,,,,,,,,,開始 時間,終了 時間,開始 時間,終了 時間,開始時間 （朝）,終了時間 （夕）,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,幼保連携型認定こども園,幼保連携型みのり認定こども園,,（福）,,100＊,,脇浜町２－５－１３,,,221-4154,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,聖ミカエル幼保連携型認定こども園,,（福）,,100＊,,中山手通６－５－１,,,341-8167,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
,,,,幼保連携型認定こども園 はたつかこども園,,（福）,,90＊,,旗塚通４－４－２０,,,221-5100,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,18:30,,○
,,,,大慈ほまれ幼保連携型認定こども園,,（福）,,60＊,,古湊通１－１－１６,,,351-0667,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,20:00,○,○
,,,,幼保連携型認定こども園 塩原学園幼稚園,,（学）,,40＊,,上筒井通４－３－３０,,,241-8010,３歳児クラス,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,,○
,,,,幼保連携型認定こども園 友愛幼児園,,（福）,,120,,吾妻通５－２－２０,,,231-5818,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,大慈幼保連携型認定こども園,,（福）,,130＊,,東川崎町６－２－６,,,671-0684,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,20:00,○,○
,,,,大慈幼保連携型認定こども園とも分園,,（福）,,30,,東川崎町１－５－８ クレヴィアタワー神戸ハーバーランド,,,341-1080,,,7:00,18:00,8:30,16:30,7:00,20:00,○,○
,,,,幼保連携型認定こども園ポートピア,,（福）,,210,,港島中町３－２－８,,,302-1234,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,幼保連携型認定こども園 成晃ひかり保育園,,（福）,,70＊,,港島中町４－６,,,303-3315,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,,（仮称）幼保連携型認定こども園 真生きらきら保育園,,（福）,,60＊,,中山手通７－２５－２４,,,341-5858,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,幼稚園型認定こども園,認定こども園 神戸華僑幼稚園,,（学）,,30＊,,中山手通６－４－２０,,,341-8315,３歳児クラス,５歳児クラス,7:30,18:30,9:00,17:00,7:30,18:30,○,○
,,,保育所,葺合保育所,,（公立）,,54,,八雲通１－１－６,,,221-3910,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
,,,,生田保育所,,（公立）,,120,,楠町８－１０－２,,,341-0425,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
,,,,たちばな保育所,,（公立）,,65,,橘通３－４－１,,,341-0911,生後６か月,３歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,○,○
,,,,みなと保育所,,（公立）,,54,,波止場町６－２,,,371-4131,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
,,,,宮本保育所,,（公立）,,90,,宮本通１－５－２１,,,221-5242,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
,,,,二宮保育所 ※,,（公立）,,90,,若菜通５－２－２４,,,221-6111,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
,,,,神若保育所,,（公立）,,85,,神若通２－３－７,,,222-3424,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
中,,,,古湊保育所,,（公立）,,90,,古湊通２－３－２３,,,361-0761,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
,,,,めぐみ愛児園,,（宗）,,90,,八雲通２－３－２３,,,221-7473,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,18:30,○,○
,,,,協和保育園,,（宗）,,30,,北本町通５－１－５,,,221-1366,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,○,
,,,,神女中山手保育園,,（福）,,90,,中山手通２－２３－２,,,261-0361,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,北野坂保育園,,（福）,,80,,北野町３－１－７,,,222-1150,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
央,,,,,,,,,,,,,,,,,,,,,,,
,,,,神戸元町ちどり保育園,,（福）,,60,,北長挟通８－５－５,,,341-5580,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,（仮称）神戸ゆたか園,,（株）,,60,,栄町通６－１－４,,,平成30年4月開所予定,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,家庭的保育事業,李 赤ちゃんホーム,,（個人）,,4,,山本通５,,,※,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
,,,,酒井 赤ちゃんホーム,,（個人）,,4,,上筒井通６,,,※,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
区,,,,,,,,,,,,,,,,,,,,,,,
,,,小規模保育事業,Ohana保育園,,（株）,,19,,中山手通４－１０－３ グランドメゾン中山手２Ｆ,,,763-0087,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:30,○,
,,,,トアハッピー保育園,,（株）,,19,,中山手通３－２－１ トア山手ザ・神戸タワー１Ｆ,,,391-7741,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,19:00,○,
,,,,さんのみやキッズ,,（株）,,19,,琴ノ緒町５－６－１９ プリオール三宮１Ｆ,,,242-4115,満１歳,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,○,
,,,,ポピンズ小規模保育園 神戸旧居留地,,（株）,,19,,明石町３０ 常盤ビル３Ｆ,,,332-3371,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,,
,,,,スペースかすがのみち保育ルーム,,（特非）,,12,,筒井町３－１２－１０ 三浦ビル１Ｆ,,,241-6722,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,
,,,,小規模保育園 はーもにぃ,,（一社）,,19,,脇浜町３－５－１９ ワコーレアプローズ２Ｆ,,,262-1714,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
,,,,新神戸アイテラス保育園,,（株）,,12,,生田町１－２－３４ オリバーサイド８８ １Ｆ,,,200-5550,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:30,○,
,,,,小規模保育園なぎさ,,（福）,,19,,中山手通４－１７－２ セントラルビル１Ｆ,,,232-0230,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,20:00,○,
,,,,元町キッズルーム,,（福）,,19,,花隈町８－１９ ケンコーハイツ１Ｆ,,,335-6988,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,○,
,,,,フォアベルク保育園,,(一社),,19,,磯辺通４－２－１４ エスリード三宮フラワーロード１F,,,891-7171,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
,,,,キッズパートナー三宮,,(株),,19,,二宮町１－１０－１ ローレル三宮ノースアベニュー１F,,,221-7342,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,
,,,,神戸YWCA保育園,,(公財),,12,,二宮町１－１２－１０ 神戸YWCA会館１F,,,231-6201,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
,,,,神戸オリーブ保育園,,(株),,19,,山本通１－７－１１ ドゥマンビル３F,,,222-5567,生後６か月,2歳児クラス,7:30,18:30,8:30,16:30,7:00,20:00,○,
,,,,京進のほいくえんHOPPA神戸駅前園,,(株),,12,,相生町５－１０－１ 相生ビル１F,,,335-8093,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,〇,
,,,,大慈あい小規模保育園,,（福）,,18,,多聞通２-１-１２ 法友会館１F,,,351-3000,生後６か月,２歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,,
,,,,はっぴぃばーす KOBE,,（株）,,19,,加納町３－13－３ マツモトビル１F,,,271-3725,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,○,
,,,,（仮称）元町はっと乳児園,,（福）,,12,,元町通４－２－２２ スパチオ元町１Ｆ,,,平成30年4月開所予定,満１歳,２歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
,,,事業所内保育事業,はーもにぃIsobe,,(一社),,12 (内地域枠8),,磯辺通２－２－２５ ダイワピュアビル１F,,,231-2662,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
＊は、別途、１号認定子どもの利用定員を設けています。 ※二宮保育所は、平成31年３月末に公立保育所としては閉所し、中央区二宮町１丁目に平成31年４月１日に開園する私立保育所に運営を引継ぐ予定です。,,,,,,,,,,,,,,,,,,,,,,,
