分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始,終了,保育短時間（８時間） 開始,終了,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,幼保連携型認定こども園　岩岡こども園,（福）,100＊,岩岡町岩岡１１４４－９,967-0301,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　岩岡こども園　分園,（福）,40＊,岩岡町岩岡１１４１－５,967-0346,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
幼保連携型認定こども園,幼保連携型認定こども園　おっこう山,（福）,90＊,神出町五百蔵１４２－４００,965-1445,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　あさひ保育園,（福）,240＊,桜が丘東町１－３－１,994-0170,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,20:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　YMCA保育園,（福）,130,学園西町５－４,794-3901,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　YMCA保育園　おひさま分園,（福）,20,学園西町７－２－１－１０１,794-4080,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　なごみ保育園,（福）,90,伊川谷町上脇字平山９５２－１,978-0753,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　西神戸YMCA保育園,（福）,70,学園西町１－１－２,792-1011,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　神戸潤和保育園,（福）,60＊,伊川谷町潤和１５３８－１,976-5700,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　神戸学園都市YMCAこども園,（福）,80,学園東町２－１－３,791-2955,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
