保育所・認定こども園・地域型保育事業　施設一覧（２号・３号認定子ども用） 平成28年9月20日時点,,,,,,,,,,,,,,,,,
所在区,,分類,施設名,組織,利用定員 （2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間）,,保育短時間（８時間）,,延長保育,,一時預かり （一時保育）,園庭開放
,,,,,,,,,,開始 時間,終了 時間,開始 時間,終了 時間,開始時間 （朝）,終了時間 （夕）,,
,,,,,,,,,,,,,,,,,
東 　 　 灘 　 　 区,,幼保連携型認定こども園,幼保連携型認定こども園　聖ニコラス天使園,（福）,90＊,北青木４－１－３７,412-6080,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
,,,幼保連携型認定こども園　夢,（福）,100＊,住吉宮町１－２－２７,858-9614,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　夢遊喜分園　※１,（福）,60＊,住吉宮町１－８－８,858-9610,,,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　石屋川くるみ保育園,（福）,70,御影塚町２－２２－１９,842-4152,生後５７日,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　本山北町あすのこども園,（福）,150＊,本山北町３－２－２８,441-1905,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,20:00,,○
,,,認定こども園　魚崎COCORO,（福）,120＊,魚崎西町２－４－１,858-5561,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,幼保連携型認定こども園　きらり保育園,（福）,100,本庄町１－３－１,412-0415,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　きたおおぎこども園,（福）,130,北青木１－１－２,411-5421,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,認定こども園　松蔭おかもと保育園,（福）,60＊,岡本７－３－１４,262-1150,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　第２きらり保育園,（福）,72,深江本町１－１３－２５,411-2003,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　同朋住吉台こども園,（福）,50＊,住吉台２５－７,846-6011,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
