保,,,,,保育所・認定こども園・地域型保,,,,,,保育事,事業　施設一覧（２号・３号認定子ども用） 平成28年9月20日時点,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
所在区,,,分類,施設名,,組織,利用定員 （2・3号）,,,所在地,,,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間）,,保育短時間（８時間）,,延長保育,,一時預かり （一時保育）,園庭開放
,,,,,,,,,,,,,,,,開始 時間,終了 時間,開始 時間,終了 時間,開始時間 （朝）,終了時間 （夕）,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,幼保連携型認定こども園,幼保連携型認定こども園　多夢の森,,（福）,90＊,,,南多聞台４－４－５０,,,787-0939,生後５７日,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,幼保連携型認定こども園　夢の森,,（福）,60＊,,,高丸６－３－１,,,704-3008,生後５７日,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,幼保連携型　おとぎ認定こども園,,（福）,120＊,,,美山台２－１－３,,,753-1126,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,幼保連携型認定こども園　花の森,,（福）,80＊,,,名谷町１９４１－１,,,791-0601,生後５７日,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,幼保連携型認定こども園　心の森,,（福）,60＊,,,清水ヶ丘３－１－１６,,,787-3500,生後５７日,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,,幼保連携型認定こども園　明舞幼稚園,,（学）,70＊,,,狩口台５－１４－１,,,781-2345,満１歳,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,幼保連携型認定こども園　塩屋幼稚園,,（学）,80＊,,,塩屋町９－２２－３,,,751-4114,１歳児クラス,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,,幼保連携型小束山認定こども園,,（福）,120＊,,,小束山本町２－１３－１,,,783-0003,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
,,,,幼保連携型認定こども園　桃の木幼稚園,,(学),120＊,,,桃山台３－２３－２,,,753-0123,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
