旧,新
たけの保育園そら分園,(仮称)幼保連携型認定こども園 たけのこども園 そら分園
五位の池保育園,(仮称)幼保連携型認定こども園 五位の池こども園
つぐみ保育園,(仮称)幼保連携型認定こども園 つぐみ保育園
ひまわり保育園,(仮称) 幼保連携型認定こども園 ひまわりこども園
弁天保育園,(仮称)幼保連携型認定こども園 弁天保育園
幼保連携型認定こども園 若竹保育園,幼保連携型認定こども園 若竹こども園
六甲ゆりかご保育園,(仮称)幼保連携型認定こども園 六甲ゆりかごこども園
小規模保育園光の子リジョイス,(仮称)光の子認定こども園リジョイス分園
光の子保育園,(仮称)光の子認定こども園
光の子保育園マナ分園,(仮称)光の子認定こども園マナ分園
友愛幼児園,(仮称)幼保連携型認定こども園 友愛幼児園
塩屋保育園,(仮称)幼保連携型認定こども園 しおやこども園
多聞台保育園,(仮称)幼保連携型認定こども園 多聞台こども園
たかつか保育園,(仮称)幼保連携型認定こども園 たかつか保育園
たけの保育園,(仮称)幼保連携型認定こども園 たけのこども園
おかもと虹保育園,(仮称)幼保連携型認定こども園 おかもと虹こども園
新生保育園,(仮称)幼保連携型認定こども園 新生こども園
平野保育園,(仮称)幼保連携型認定こども園 平野保育園
兵庫保育園,(仮称)大慈ひょうご幼保連携型認定こども園
大慈保育園とも分園,(仮称)大慈幼保連携型認定こども園とも分園
大慈保育園,(仮称)大慈幼保連携型認定こども園
ゆりかご保育園,(仮称)幼保連携型認定こども園 ゆりかごこども園
虹保育園,(仮称)幼保連携型認定こども園 虹こども園
ポートピア保育園,(仮称)幼保連携型認定こども園ポートピア
成晃ひかり保育園,(仮称)幼保連携型認定こども園 成晃ひかり保育園
ゆりか保育園,(仮称)ゆりか認定こども園
竹の台保育園,(仮称)幼保連携型認定こども園 竹の台保育園
ほそだ保育園,(仮称)幼保連携型認定こども園 ほそだ
山のまち保育園,(仮称)幼保連携型認定こども園 山のまち
幼保連携型認定こども園 若木保育園,幼保連携型認定こども園 若木こども園
東須磨愛児園 本園,(仮称)幼保連携型認定こども園 東須磨愛児園
東須磨愛児園 分園,(仮称)幼保連携型認定こども園 東須磨愛児園 分園
みなと幼稚園,(仮称)認定こども園 みなと幼稚園
ひとみ保育園,(仮称)幼保連携型認定こども園 ひとみ保育園
村雨保育園,(仮称)幼保連携型認定こども園 村雨こども園
村雨保育園愛分園,(仮称)幼保連携型認定こども園 村雨こども園愛分園
舞子保育園,(仮称)幼保連携型認定こども園 舞子保育園
認定こども園 名倉幼稚園,幼保連携型認定こども園 名倉幼稚園
かすみがおか虹保育園,(仮称)幼保連携型認定こども園 かすみがおか虹こども園
認定こども園 近田幼稚園,(仮称)認定こども園 近田幼稚園
頌栄保育園,(仮称)幼保連携型認定こども園 頌栄保育園
神戸鹿の子幼稚園,(仮称)幼保連携型認定こども園 神戸鹿の子幼稚園
